Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-04-2022 00:00,0.73041,15456.57377,64.57228,27958.68068,0.43,18.49,1759.96,31501.34,167.83,15563.18,2.74,455.46,23.22,2145.53,88.34,150.86,17.61,214.01,h,h,118.73,5005.23,28.47,870.99
02-04-2022 00:00,5.66557,193181.7077,175.51261,87296.1597,0.49,20.92,1904.37,34305.57,161.16,15625.53,110.6,10945.55,105.18,6076.21,84.25,138.9,20.23,248.26,20.09,25067.92,124.15,5483.24,35.25,1051.99
03-04-2022 00:00,0.64115,5538.026505,38.09756,10243.20579,0.42,16.06,1816.66,28996.32,157.35,12065.23,74.51,1957.95,33.94,1892.6,87.82,137.45,20.32,204.48,h,h,113.13,4779.66,31.58,879.34
04-04-2022 00:00,10.57135,795939.9512,184.1392,139144.1568,0.48,19,1932.97,41530.22,181.1,20233.82,62.08,9674.35,26.8,3456.44,80.2,127.31,26.26,362.77,39.46,47096.04,124.54,5868.63,41.05,1227.3
05-04-2022 00:00,8.75583,601341.3793,155.23696,110471.5785,0.47,17.8,1934.18,39370.19,175.89,18865.01,56.32,3882.78,132.07,14043.67,81.94,133.21,26.18,404.87,34.19,38604.5,123.88,5736.23,38.36,1141.53
06-04-2022 00:00,8.48265,537968.8262,168.85244,101475.1872,0.48,19.15,1892.45,37401.11,166.57,17620.58,54.07,3762.19,40.6,3162.3,84.97,138.74,26.14,367.23,29.54,35863.02,120.04,5412.12,37.34,1087.9
07-04-2022 00:00,8.35927,558280.7917,199.35985,112598.4871,0.49,19.59,1924.91,37184.6,165.42,17187.21,65.84,3920.49,75.6,6138.84,83.69,140.05,26.31,389.07,26.88,31376.95,119.75,5394.92,36.59,1066.07
08-04-2022 00:00,8.87144,541530.4363,185.40657,114509.2923,0.49,19.32,1915.95,35133.63,161.05,16035.15,96.18,3800.63,34.49,2898.03,87.25,144.7,25.28,378.52,26.9,29900.27,124.71,5598.19,36.45,1075.84
09-04-2022 00:00,1.58031,14210.79605,58.18969,17312.00795,0.51,20.05,1963.77,33429.07,158.53,13540.64,47.5,1581.58,10.91,966.94,90.09,145.7,24.29,325.74,h,h,124.16,5511.92,36.6,1054.25
10-04-2022 00:00,0.51816,4200.968847,35.31625,7725.142367,0.4,13.73,1829.57,26380.29,141.46,9360.26,0.36,107.26,60.4,9934.48,86.65,138.62,21.8,259.95,h,h,106.98,4306.2,27.67,737.12
11-04-2022 00:00,10.33206,644059.6386,188.94939,118667.8642,0.52,19.17,1920.92,37147.71,169.77,17005.59,282.49,5401,53.92,4124.62,83.43,130.31,26.56,425.94,40.31,38960.05,119.02,5266.87,37.47,1074.22
12-04-2022 00:00,9.08171,515627.6351,149.46717,102029.6224,0.53,19.47,1934.32,36141.16,165.47,16331.24,75.46,3377.87,21.24,2101.45,83.92,135.59,29.11,459.87,33.23,33321.29,123.1,5437.99,38.98,1082.02
13-04-2022 00:00,9.64197,665293.8693,166.32362,175102.9974,0.54,20.32,1959.35,35735.22,161.51,15860.94,157.21,5675.62,13.71,1628.97,84.97,142.12,29.66,474.54,29.19,31302.44,125.39,5451.7,39.35,1073.9
14-04-2022 00:00,1.94009,33075.52786,60.53226,28554.33816,0.57,21.73,1854.34,30183.26,149.41,12183.24,15.88,452.94,9.78,1230.63,95.88,147.49,25.35874,390.5881484,h,h,111.93,4697.49,35.48,975.39
15-04-2022 00:00,2.14487,33574.87287,55.94773,24848.22369,0.58,21.01,1807.44,28138.64,142.48,11059.19,68.21,905.07,71.74,5873.17,95.39,144.29,24.25,354.55,2.54,2574.17,105.61,4306.98,32.49,900.71
16-04-2022 00:00,8.28378,308139.7301,109.47895,73354.02683,0.53,19.31,1847.21,30322.18,146.96,12899.87,206.66,10304.46,14.41,1554.67,95.98,143,26.53,400.03,38.14,35689.29,108.8,4551.68,31.8,891.75
17-04-2022 00:00,0.58181,5039.428372,35.29399,7801.630134,0.48,15.44,1776.11,23899.87,133.35,8399.45,1.69,1071.65,6.04,357.99,99.12,144.3,22.62,290.45,h,h,100.54,3819.65,26.04,677.04
18-04-2022 00:00,9.75715,598564.6783,129.46494,104016.6717,0.61,21.84,1847.09,34476.4,158.26,15858.38,262.8,5746.44,21.44,2528.14,88.56,132.7,29.44,516.1,33.18,30259.74,109.18,4602.46,35.82,1004.92
19-04-2022 00:00,9.07855,465223.4978,122.69567,106669.1789,0.62,22.4,1848.4,33348.27,155.54,15475.27,164.31,5435.68,14.19,2003.81,84.07,133.2,27.62,467.29,29.9,30692.26,105.57,4431.87,34.85,976.22
20-04-2022 00:00,8.60469,491291.763,133.09201,99611.59317,0.64,22.11,1863.96,33512.38,156.88,15382.12,41.89,3541.08,30.94,3748.71,88.06,139.99,26.36,467.11,28.51,28780.76,107.09,4468.8,32.93,915.02
21-04-2022 00:00,7.96687,465289.3139,131.22168,91963.35466,0.61,20.41,1833.63,31649.72,148.29,14405,56.43,3845.31,17.32,2105.8,91.3,144.85,26.27,427.02,24.89,27092.43,101.68,4173.12,30.22,825.52
22-04-2022 00:00,8.52604,474872.7372,140.66299,103915.5855,0.64,21.06,1841.32,30687.21,149.83,14092.2,163.31,4613.69,38.21,2235.41,90.52,144.11,25.19,415.88,24.68,27340.51,101.39,4118.64,30.05,826.68
23-04-2022 00:00,1.61026,14949.81088,57.66582,17179.91238,0.68,22.77,1830.43,28361.39,150.61,12225.16,47.05,635.16,3.41,314.79,95.5,148.15,21.8,319.57,h,h,103.54,4219.09,28.39,802.54
24-04-2022 00:00,0.5119,3943.957533,37.21978,7198.454271,0.58,16.69,1679.09,22341.42,132.29,8420.43,0.26,78.78,4.25,174.69,93.63,143.82,19.62,212.18,h,h,96.95,3507.04,21.9,568.69
