Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-08-2022 00:00,8.20099,596699.9893,270.49902,143815.1928,0.33,11.24,2171.27,43568.17,176.56,20191.65,75.73,4373.02,25.71,3184.42,80.39,131.23,27.13,474.46,23.37,23864.21,121.94,5427.8,23.24,651.23
02-08-2022 00:00,7.43612,491258.5038,161.69229,106501.6102,0.32,10.88,2231.53,42085.99,167.16,17965.86,141.78,5908.96,131.4,7256.32,79.46,131.86,29.44,515.67,23.5,24652.3,118.36,5237.7,25.51,713.57
03-08-2022 00:00,7.21302,450401.3747,156.84064,98578.13245,0.42,13.26,2115.76,38693.87,149.97,16649.28,127.02,4303.15,50.04,3439.78,86.02,140.58,29.01,491.72,22.74,23488.77,116.29,5019.41,26.18,727.12
04-08-2022 00:00,7.23371,423603.1169,154.73257,108259.6031,0.61,18.36,2168.76,40079.82,162.43,17231.52,176.97,4002.83,26.29,3820.41,85.14,140.11,29.23,526.34,23.27,23164.18,112.49,4801.23,27.49,754.16
05-08-2022 00:00,7.23768,538079.4097,176.83979,110839.7783,0.69,19.24,2048.27,35859.8,158.41,16110.99,124.5,3140.39,153.31,14871.73,84.33,139.22,28.83,560.19,23.18,22664.55,114.14,4787.52,24.94,663.98
06-08-2022 00:00,6.02086,204992.963,158.3053,78659.52467,0.51,14.82,2254.73,39064.52,160.11,15382.76,133.14,4734.46,30.41,2979.63,90.87,142.07,29.18,514.31,21.44,20826.24,123.61,5336.96,26.45,724.93
07-08-2022 00:00,0.5312,4888.829763,51.74575,9790.22175,0.52,14.34,2124.83,29906.75,143.31,10366.39,1.2,181.8,52.14,4414.78,91.1,140.77,25.19,342.41,h,h,112.84,4463.92,24.9,653.7
08-08-2022 00:00,8.50001,653200.1911,176.85296,101270.7637,0.55,16.8,2162,39627.08,167.05,17068.53,299.6,8767.55,49.81,3398.62,82.48,126.73,32.19,617.6,25.52,22769.06,120.64,5167.99,35.57,974.81
09-08-2022 00:00,3.10221,59541.65085,141.51243,50298.26265,0.53,18.04,2104.64,34997.87,156.1,14630.86,59.18,1104.83,15.23,1586.75,82.77,130.79,28.85,513.62,4.39,3465,116.25,4897.5,27.13,716.38
10-08-2022 00:00,9.72959,586545.9218,196.97823,123845.6842,0.64,19.72,2258.23,41043.38,172.84,17608.53,88.97,2774.15,122.87,14178.95,88.92,135.22,31.63,673.75,36.48,33192.95,139.63,5978.97,47.81,1237.96
11-08-2022 00:00,5.5934,515004.3458,133.05322,92314.88011,0.61,17.83,2258.37,36349.91,154.59,13943.16,160.03,16609.69,14.61,2303.95,91.34,136.79,27.76,487.22,20.08,18521.23,134.4,5251.35,44.95,1139.49
12-08-2022 00:00,8.00656,587446.3481,142.12342,106558.0333,0.53,16.24,2094.52,33508.36,147.25,14285.7,88.77,4668.72,19.06,2234.22,91.57,135.25,31.68,603.93,23.01,21460.43,112.32,4507.9,39.79,1037.96
