Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-12-2021 00:00,7.31856,529383.0611,253.0492,125165.908,0.53,19.92,1531.04,33487.99,166.66,17732.59,70.99,7042.33,24.2,2992.99,71.88,117.09,19.86,315.5,25.33,26332.22,119.65,5486.06,30,893.66
02-12-2021 00:00,6.952,417700.7489,154.34266,109545.3302,0.51,18.33,1524.3,31446.32,155.11,15497.2,96.17,5243.26,92.59,5272.59,70.91,112.07,19.33,307.2,23.42,24797.33,117.51,5337.89,29.11,856.78
03-12-2021 00:00,7.1274,466623.58,141.88411,123838.4784,0.55,18.44,1480.12,28800.98,151.76,14716.03,362.15,7113.89,43.85,3039.09,71.57,114.35,19.87,307.56,23.01,23671.75,118.43,5230.73,31.25,895.82
04-12-2021 00:00,5.88855,140441.0243,126.32989,61524.48435,0.54,17.81,1542.54,29534.27,151.06,14073.24,139.79,3777.85,27.83,3285.29,73.9,114.93,18.8,294.85,23.8,22260.68,120.64,5318.7,32.46,881.55
05-12-2021 00:00,0.44727,3774.298116,33.85784,7114.624761,0.44,13.13,1478.36,23634.62,132.73,9465.51,5.73,191.79,80.09,9293.66,74.03,112.54,16.78,224.53,0,0,111.25,4443.42,27.2,674.66
06-12-2021 00:00,7.8935,526640.5979,150.64286,105344.6876,0.54,16.83,1488.74,30143.74,153.37,15209.9,62.16,3131.66,49.18,4805.44,72,107.1,22.33,382.52,28.54,24029.11,116.52,5039.88,34.76,914.99
07-12-2021 00:00,7.42237,451815.1946,172.38414,97398.30523,0.56,18.05,1535.97,30111.47,151.08,14537.51,71.44,3606.31,62.09,5409.68,72.12,109.68,23.1,368.52,27.01,24984.23,120.74,5263.44,35.04,933.91
08-12-2021 00:00,7.10311,401738.2131,155.46261,84758.20886,0.54,16.68,1510.03,28889.73,149.91,13887.96,94.71,3554.67,35.95,2429.81,76.12,114.82,22.1,375.71,24.67,23346.47,123.43,5331.34,31.89,870.21
09-12-2021 00:00,7.12028,497060.6324,154.56682,107789.4987,0.54,17.73,1452.73,27977.02,146.65,13712.88,105.95,3141.75,20.17,1944.32,75.06,115.94,22.2,365.89,25.29,23818.76,116.99,5016.72,32.42,894.21
10-12-2021 00:00,7.87314,562124.0534,157.42546,110951.3642,0.58,19.24,1382.76,25540.08,148.15,13717.39,98.55,4774.85,99.83,12712.28,77.58,117.98,20.99,379.96,27.06,24336.61,123.05,5260.76,32.2,892.08
11-12-2021 00:00,1.26921,10987.09846,46.57922,14428.02871,0.61,19.54,1450.98,25827.58,136.82,10951.15,30.06,1112.43,5.01,608.78,80.77,119.82,19.5,280.12,0,0,123.68,5251.71,29.31,824.07
12-12-2021 00:00,0.39513,3203.719772,29.29668,5810.771713,0.45,13,1392.11,20023.23,121.91,7657.16,0.38,69.36,6.38,565.27,82.35,119.51,17.86,203.51,0,0,107.02,4105.07,23.46,603.91
13-12-2021 00:00,9.32847,594247.2323,146.35263,107331.0049,0.48,14.74,1407.12,26943.56,142.62,13918,70.88,3167,15.16,2010.44,76.91,110.47,24.54,398.97,37.73,31975.27,112.04,4665.29,25.4,690.4
14-12-2021 00:00,7.94113,598348.5793,125.69236,98052.23601,0.63,20.36,1484.81,28016.55,140.52,13409.54,89.79,4062.4,15.5,1832.09,74.26,112.96,24.51,426.92,30.64,28697.68,110.12,4621.53,33.63,946.55
15-12-2021 00:00,8.04913,584143.7531,130.59569,103217.9238,0.63,19.98,1512.54,28838.73,143.32,13556.82,58.02,5399.97,86.76,7015.63,75.05,116.31,23.83,443.72,26.4,28780.67,111.86,4663.93,32.18,882.52
16-12-2021 00:00,4.68154,466989.9713,111.2647,117531.1573,0.65,22.93,1456.96,26447.76,146.91,12445.24,146.66,3553.4,11.35,1500.22,75.18,118.75,23.22,392.97,13.29,13801.32,103.2,4263.42,30.87,858.61
17-12-2021 00:00,4.28704,523746.206,94.47205,88486.93172,0.7,24.6,1461.15,24999.17,131.7,11365.73,91.44,2915.03,10.06,1078.85,76.06,120.5,22.18,379.52,17.17,16689.1,99.67,3992.58,31.29,859.42
18-12-2021 00:00,8.01002,189315.5402,97.64343,66183.5824,0.64,21.79,1451.23,24668.99,131.1,11197.18,70.13,3160.35,11.64,1779.66,82.83,124.7,19.58,314,33.71,30207.05,108.03,4367.02,30.44,828.88
19-12-2021 00:00,0.43933,3605.720126,25.83804,6280.372835,0.59,17.41,1402.14,19087.16,115.82,6990.68,11.92,348.33,3.61,191.45,81.64,121.91,16.08,188.97,0,0,99.5,3591.6,24.57,613.56
20-12-2021 00:00,8.90484,638841.22,122.5302,101714.4592,0.74,23.23,1489.36,29184.65,141.56,14056,57,4766.64,48.91,3598.13,73.81,111.17,23.26,445.24,33.32,29920.13,106.2,4316.68,32.8,875.33
21-12-2021 00:00,7.98344,559568.798,120.14887,102044.3241,0.72,24.01,1467.81,27086.37,138.59,12916.5,97.84,8109.89,17.52,2404.43,75.21,116.3,21.81,392.88,29.98,28700.93,102.69,4134.8,31.76,831.92
22-12-2021 00:00,7.79733,567290.6468,128.83202,92890.42821,0.75,23.97,1489.94,26892.86,141.44,12829.46,90.38,4998.17,25.66,2307.67,77.35,119.85,20.19,391.21,26.67,26139.74,104.22,4153.29,32.36,825.03
23-12-2021 00:00,7.547,514913.4579,113.62772,103085.4475,0.78,24.29,1494.64,26454.72,141.42,12749.34,78.52,4640.61,12.81,1278.14,81.12,126.19,20.29,363,24.79,25570.09,103.11,4094.84,31.5,797.66
24-12-2021 00:00,8.06914,532867.0215,122.66141,106670.2448,0.8,25.26,1491.2,25817.61,146.76,12950.79,91.21,6781.09,20.51,1746.28,87.66,130.69,18.8,333.38,23.87,25113.61,108.02,4227.41,30.91,787.78
25-12-2021 00:00,1.09002,10686.37013,40.46429,11717.68282,0.82,25.67,1448.92,22122.87,132.69,9373.8,30.66,1357.5,9.03,1137.44,88.98,130.58,16.34,242.59,0,0,100.8,3849.95,27.38,687.09
26-12-2021 00:00,0.42135,3419.197598,28.36841,5549.519453,0.68,18.82,1357.26,17623.74,122.91,6909.57,0.4,68.25,3.02,165.68,88.1,126.6,14.1,160.56,0,0,91.23,3185.38,22.94,540.66
27-12-2021 00:00,9.4288,566362.7593,120.3281,111669.093,0.83,25.15,1436.37,26037.07,148.1,13560.56,63.84,4620.38,20.65,2229.36,81.73,117.68,19.39,363.45,35.76,33039.58,100.72,3976.09,31.73,807.72
28-12-2021 00:00,8.13896,518763.5497,143.02927,105477.0699,0.76,24.74,1445.59,26113.2,143.04,13058.13,64.53,5634.63,54.39,2824.87,80.02,119.82,19.01,335.76,28.72,27708.46,97.23,3900.18,28.36,748.66
29-12-2021 00:00,7.92682,517562.638,133.12976,106636.9344,0.79,24.4,1420.78,25271.47,142.73,13172.43,131.56,6685.9,8.98,1820.25,82.98,124.76,16.77,305.14,24.42,25900.01,99.89,3982.18,28.46,756.56
30-12-2021 00:00,7.96017,690706.8897,150.05681,137370.8448,0.88,27.51,1491.52,27540.86,146.54,13985.71,81.48,7817.48,4.3,1271.88,83.51,127.63,17.55,326.14,24.25,26277.72,102.81,4208.07,30.93,837.6
31-12-2021 00:00,7.96892,874119.0256,232.52158,199401.1598,0.98,29.93,1683.97,32283.86,166.88,16807.43,101.57,7272.06,10.89,1874,80.04,126.71,17.26,328.11,21.48,24856.65,129.66,5329.68,33.59,896.31
Total December 2021,192.78397,12966990.8,3763.37883,2724980.108,20.24,647.49,45662.99,826848.23,4429.86,396411.43,2565.91,128119.23,937.92,90425.67,2420.73,3679.41,621.43,10338.4,660.33,640955.17,3409.91,140609.64,940.2,25208.11
