Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-12-2022 00:00,7.85874,581918.8591,280.64474,160156.1687,0.27,12.98,2692.15,53457.06,187.89,21555.09,109.71,9395.49,26.77,3660.69,96.07,166.12,33.28,498.65,20.78,23861.28,123.93,5726.1,32.28,975.49
02-12-2022 00:00,7.93572,584382.5793,186.51615,113349.4396,0.27,12.39,2660.28,48531.22,171.12,18952.15,74.34,9509.24,139.5,7704.06,100.42,162.68,32.38,504.66,21.56,24065.6,122.48,5555.82,31.14,934.04
03-12-2022 00:00,6.29249,160091.6722,145.28308,70971.25555,0.25,11.59,2641.04,46558.2,162.51,16969.37,116.28,10091.46,70.58,4486.05,108.12,167.54,32.21,462.34,21.76,22076.42,123.69,5568.54,29.61,876.95
04-12-2022 00:00,0.6308,5664.49702,61.81645,11189.90622,0.21,8.71,2524.83,37265.1,152.83,11664.61,5.68,253.29,21.21,2825.98,108.56,165.6,28.07,328.84,0,0,111.32,4496.86,25.81,702.46
05-12-2022 00:00,8.34348,554005.1829,182.05034,112403.1718,0.25,10.8,2630.16,50169.23,173.74,18986.45,92.81,4312.17,187.49,17720.28,96.54,149.41,37.98,688.35,23.76,22407.88,116.18,5113.48,31.89,919.2
06-12-2022 00:00,8.3583,542548.2434,183.1485,116063.6672,0.26,11.23,2571.41,46197.13,163.02,17479.7,92.09,6241.65,34.22,3629.49,92.66,150.94,35.53,598.14,26.04,25514.81,114.43,5002,31.04,897.87
07-12-2022 00:00,8.21064,508121.1859,215.65223,113183.4776,0.26,11.21,2583.98,46284.96,168.16,18218.81,125.17,7110.04,71.27,6596.93,97.52,156.78,34.9,604.31,23.98,25264.55,119.7,5243.09,30.38,880.54
08-12-2022 00:00,7.70605,468582.5914,175.99809,112302.8657,0.27,11.17,2514.95,43719.07,158.65,16742.35,103.14,6736.52,38.29,3331.4,100.11,161.51,35.36,615.3,22.9,23734.26,117.31,5112.15,29.22,863.51
09-12-2022 00:00,8.44515,508418.8358,195.76137,118000.6899,0.28,11.28,2488.63,42421.34,156.49,16514.97,106.94,5319.07,33.4,2781.12,100.89,162.16,34.78,595,22.85,22906.72,114.3,4935.9,26.58,769.13
10-12-2022 00:00,1.75635,17174.07915,84.83168,22351.83565,0.33,14.2,2537.77,41177.7,155.54,14352.96,121.39,1859.49,74.75,12719.58,103.36,163.9,32.32,564.78,h,h,117.5,5120.32,31.02,898.86
11-12-2022 00:00,0.59364,4935.615106,60.3626,10192.69642,0.29,10.51,2508.37,33518.33,141.76,9666.14,3.13,186.72,7.15,826.57,102.9,159.89,28.67,345.66,h,h,99.88,3926.97,27.86,749.03
12-12-2022 00:00,10.39322,609312.2451,173.54841,121722.5588,0.33,13.35,2539.09,45151.66,164.97,17789.84,287.39,8086.84,58.36,3797.13,92.51,145.48,40.47,717.48,35.98,31727.22,114.66,4904.43,36.74,1002.11
13-12-2022 00:00,8.83743,515196.0412,184.32406,107191.5958,0.35,13.94,2557.97,43440.05,162.92,17218.99,117.02,8577.07,14.74,1965.49,91.24,148.95,39.28,702.72,31.59,31019.67,112.45,4763.39,36.5,966.85
14-12-2022 00:00,8.43314,531437.7117,162.37156,99581.34117,0.36,13.87,2598.34,42458.09,159.31,16732.37,124.55,5474.93,17.55,2074.18,95.71,155.71,36.74,666.92,25.19,24946.73,110.89,4618.03,35.09,911.94
