Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-02-2022 00:00,7.85792,545745.3295,251.53583,139764.4145,0.48,20.25,1727.27,38167.32,178.82,19369.97,76.36,8722.14,24.48,3223.5,76.31,125.22,22.52,316.46,25.98,27121.1,119.99,5626.66,35.18,1037.27
02-02-2022 00:00,7.57721,442230.2316,166.87965,107181.7841,0.43,18.43,1666.46,34757.09,166.35,17019.23,115.91,4461.36,99.72,5701.45,78.55,123.91,23.48,327.49,25.26,25675.48,121.67,5636.13,34.91,1018.25
03-02-2022 00:00,7.37372,409216.6561,158.74804,98253.43907,0.42,16.69,1646.71,33265.3,158.45,15962.18,64.28,3426.39,46.29,3039.47,81.9,128.44,24,342.75,24.1,24085.4,110.46,4974.08,35.11,1001.56
04-02-2022 00:00,7.49081,486447.0162,158.73129,100325.2149,0.41,14.61,1622.84,32036.03,154.44,15223.57,223.2,8363.35,23.43,3532.09,83.66,128.42,20.59,296.9,24.41,24385.54,109.9,4854.08,32.32,899.42
05-02-2022 00:00,5.49617,176917.3195,127.4189,65151.71264,0.4,14.47,1655.22,31339.7,152.01,13673.29,132.94,4285.58,111,12293.11,90.62,130.39,22.25,340.17,22.4,20422.84,118.69,5216.64,35.1,905.3
06-02-2022 00:00,0.47063,3873.263078,37.01248,7543.853847,0.33,11.76,1549.3,23445.48,132.87,8996.76,4.99,146.66,26.44,1872.22,91.1,128.7,19.34,199.42,h,h,103.81,4158,29.17,696.78
07-02-2022 00:00,7.28175,243845.3627,166.28754,100480.5739,0.44,15.47,1664.91,33670.85,161.31,15636.93,103.96,2526.03,69.55,5444.43,84.32,120.06,23.73,360.38,20.45,19963.7,115.85,5105.49,38.67,1012.45
08-02-2022 00:00,8.24411,638522.3067,173.51003,108299.5601,0.45,15.8,1667.98,32682.18,160.62,15334.79,140.46,4631.78,39.16,2966.83,81.73,122.58,25.6,388.58,29.93,26618.7,118.81,5279.82,37.1,1007.44
09-02-2022 00:00,7.62744,414707.9424,165.23672,94858.90095,0.46,16.24,1718.83,32468.47,157.92,14759.67,146.49,4911.41,18.18,1901.38,84.15,127.76,23.78,393.59,27.05,25086.7,117.92,5158.16,38,1029.21
10-02-2022 00:00,7.37673,450547.946,141.80263,118502.1884,0.49,16.82,1646.32,31703.55,156.63,14727.25,79.87,4558.53,101.92,12716.92,87.18,129.7,24.95,432.66,26.91,23667.7,118.19,5141.42,37.55,1001.68
11-02-2022 00:00,8.08747,482430.6221,150.47848,109736.5615,0.47,17.03,1665.02,30697,153.54,14181.86,48.75,4202.37,18.97,2268.26,90.43,132.64,25.4,401.94,25.42,23834.88,115.36,4966.37,36.2,998.11
12-02-2022 00:00,1.36301,12367.57397,56.73873,16665.51257,0.52,19.11,1632.81,27942.54,142.97,11509.32,91.13,1677.09,8.56,754.56,92.35,133.95,22.77,322.24,h,h,112.67,4862.58,35.22,980.82
13-02-2022 00:00,0.45201,4010.716008,45.29895,8521.556297,0.47,15.02,1588.4,22271.87,134.11,8176.36,32.77,255.19,6.97,200.49,93.49,133.21,18.49,212.42,h,h,102.74,3977.54,29.04,739.85
14-02-2022 00:00,9.8223,500170.0994,173.90572,118836.611,0.57,19.54,1675.9,32609.4,158.89,15458.98,37.44,3684.45,16.26,1980.46,85.22,120.76,27.56,432.7,37.05,32270.69,110.21,4658.95,38.07,1025.57
15-02-2022 00:00,8.16639,540998.2685,158.82075,127204.0734,0.6,21.62,1649.61,31888.77,156.09,15215.25,35.75,5715.55,85.42,7701.11,83.51,124.95,24.13,423.43,30.77,27661.77,111.6,4762.01,38.71,1050.46
16-02-2022 00:00,7.89008,500504.0362,141.27633,97855.05515,0.61,20.78,1653.18,30212.49,144.11,13404.45,92.5,3544.43,9.08,1571.81,86.75,128.17,26.12,446.3,27.56,85245.9,107.98,4511.49,36.16,969.59
17-02-2022 00:00,7.85169,454615.8067,129.95795,99155.57083,0.64,21.14,1599.93,29053.85,152.32,13756.7,83.3,3408.59,12.62,1521.64,87.55,131.83,25.62,446.23,25.85,24788.91,102.91,4275.36,35.02,945.53
18-02-2022 00:00,7.8933,485433.2424,124.5034,111641.8207,0.6,18.76,1610.88,27226.8,148.34,13036.44,109.82,3897.52,31.1,2265.16,90.84,134.98,23.77,395.45,24.22,23450.45,101.78,4146.06,30.6,825.28
19-02-2022 00:00,5.08672,103400.5781,89.32334,49604.14215,0.59,20.22,1558.32,25778.25,142.31,11451.13,45.21,2038.33,6.07,1033.03,96.05,137.51,19.82,330.03,14.72,14906.65,102.46,4154.98,29.78,799.67
20-02-2022 00:00,0.47943,3848.888004,29.28473,6453.722838,0.56,17.02,1549.44,21128.33,128.67,7588.32,0.48,164.96,11.07,1937.28,93.68,133.47,16.93,220.74,h,h,95.55,3499.64,23.92,596.62
21-02-2022 00:00,8.58288,440482.2448,123.58774,97764.94874,0.67,21.5,1578.14,29480.41,152.87,14201.65,89.85,5098.21,31.83,2548.75,86.04,123.28,22.51,425.41,29.64,26146.4,100.6,4070.35,32.37,864.54
22-02-2022 00:00,8.14244,444590.9099,121.16126,92086.5338,0.68,22.73,1474.01,27023.99,137.32,13512.18,69.05,3954.83,27.97,2178.25,81.53,124.48,21.86,388.83,27.91,26384.93,96.71,3877.9,28.98,778.87
23-02-2022 00:00,7.87367,441799.7413,122.61879,92293.73285,0.66,21.28,1421.16,24444.21,135.56,12789.1,81.75,6240.16,13.39,1612.51,85.29,131.42,20.44,363.21,24.94,24785.86,101.04,4001.72,29.28,772.16
24-02-2022 00:00,8.15398,520941.1844,118.27191,104306.7232,0.75,23.62,1679.23,32003.16,150.2,14883.76,63.4,12644.05,9.39,1803.33,84.2,132.11,22.22,404.7,22.44,23342.91,98.4,3946.83,31.88,840.68
25-02-2022 00:00,9.35538,626503.668,139.27971,151421.1576,0.76,24.28,1599.27,29271.51,151.48,15010.1,99.01,6521.17,26.93,3152.74,87.72,136.13,20.43,386.45,26.12,27233.58,102.01,4113.95,31.76,847.75
26-02-2022 00:00,1.66108,18338.52441,51.50316,19612.07844,0.74,24.45,1606.8,26149.22,144.19,12022.18,25.66,1242.02,3.12,398.05,94.62,140.73,18.52,303.41,h,h,103.94,4221.78,29.78,805.78
27-02-2022 00:00,0.55251,4671.908252,33.06387,7656.670159,0.7,19.42,1572.88,21228.83,130.64,8409.5,19.26,329.37,4.7,439.87,93.04,138.91,15.36,201.18,h,h,95.4,3470.26,24.9,617.64
28-02-2022 00:00,12.07469,927456.4329,276.34201,225880.4509,0.84,25.92,1594.07,34896.42,166.28,19093.12,74.64,7498.81,64.58,3997.33,84.53,127.48,22.33,471.27,38.85,38240.76,119.1,5131.6,33.68,906.29
Total February 2022,180.28552,10324617.82,3632.57994,2477058.565,15.74,533.98,45274.89,826843.02,4209.31,384404.04,2188.23,118150.33,948.2,90056.03,2436.36,3631.19,624.52,9974.34,581.98,615320.85,3035.75,127799.85,928.46,24974.57
