Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-07-2022 00:00,7.23863,729074.7608,264.96551,153549.1433,1.31,43.18,2110.38,43831.02,167.79,19535.73,149.89,12506.21,25.3,3346.08,88.41,146.41,26.77,440.12,20.16,24929.87,128.17,5839.09,37.77,1201.03
02-07-2022 00:00,6.14911,187400.6566,133.92564,74828.37982,1.34,43.95,2134.15,42108.81,164.68,17776.45,67.61,6837.99,121.22,6749.72,92.54,144.33,27.47,459.43,21.33,23900.36,134.77,6236.46,40.97,1286.61
03-07-2022 00:00,0.56431,4750.268933,43.7291,9507.459299,1.2,35.86,2049.51,32114.33,142.12,11580.17,0.88,100.67,44.77,2344.17,93.56,144.18,23.94,323.83,h,h,118.29,4906.36,33.11,924.39
04-07-2022 00:00,7.99194,528248.1777,159.5281,104777.4777,1.41,43.16,2093.17,42995.32,169.28,18957.86,268.27,4173.01,25.69,3492.29,85.52,130.01,30.9,564.63,26.58,24009.64,118.48,5344.2,42.11,1270.68
05-07-2022 00:00,7.74275,460352.658,185.05347,106495.4046,0.54,17.1,2077.94,41456.59,163.67,17969.66,144.6,4476.99,155.3,15202.6,82.73,131.23,30.41,601.23,25.89,25155.65,117.36,5198.58,40.3,1152.36
06-07-2022 00:00,7.29759,483844.3884,177.04117,112469.207,0.51,16.13,2093.44,39822.21,159.62,16870.01,128.14,4137.27,33.47,3120.28,85.11,135.14,29.57,546.18,23.95,23220.38,120.11,5277.96,41.03,1135.29
07-07-2022 00:00,7.51643,515991.729,190.91096,113372.1152,0.51,15.96,2120.26,39624.23,158.18,16835.03,152.17,4640.82,67.46,5858.66,85.1,137.03,30.41,581.91,23.45,24243.53,120.28,5326.46,41.47,1153.39
08-07-2022 00:00,8.03536,494091.8933,197.66452,133125.594,0.51,15.67,2079.58,37817.79,159.06,16326.3,182.3,9184.11,41.49,3028.86,89.96,140.28,28.64,548.42,24.36,24057.81,126.78,5624.95,41.28,1151.81
09-07-2022 00:00,1.54438,14136.09071,67.14482,18017.29555,0.63,19.82,2100.71,35896.16,156.25,13555.43,55.15,1028.32,14.67,963.61,92.69,139,27.5,477.43,h,h,129.27,5681.28,42.48,1169.71
10-07-2022 00:00,0.48222,3978.998846,41.40251,8449.088113,0.47,12.92,1932.44,26632.94,127.61,8707.75,0.82,47.38,64.72,11040.13,83.67,125.47,23.37,362.87,h,h,103.46,3987.06,28.91,741.98
11-07-2022 00:00,9.00307,532495.5693,170.21934,110539.2035,0.57,17.29,2000.96,37142.02,155.56,15464.16,176.83,3857.97,50.3,3693.15,78.73,116.71,32.35,673.62,35.62,30873.08,112.21,4754.5,40.3,1113.89
12-07-2022 00:00,7.85569,416837.7948,146.92594,95511.83188,0.6,18.53,2011.21,35038.16,152.64,14678.2,90.44,3761.38,24.5,2297.03,80.06,124.14,31.85,650.66,28.98,26485.26,112.09,4690.19,39.54,1085.28
13-07-2022 00:00,7.24301,419777.3431,140.89594,95971.71468,0.59,17.66,1989.5,34242.77,146.76,14015.62,117.52,5045.1,18.06,1502.73,83.08,128.88,31.16,603.38,23.94,22943.75,106.21,4365.41,36.06,988.67
14-07-2022 00:00,7.34307,447794.5864,129.73648,95914.15231,0.63,18.99,2023.58,34743.09,148.18,14123.76,117.95,3446.32,17.68,1929.61,80.49,129.44,30.27,640.51,22.64,22790.55,105.7,4334.23,38.55,1052.96
15-07-2022 00:00,7.58226,574483.2173,138.47504,108615.6553,0.6,18.76,2019,33702.42,153.61,14091.4,145.25,4500.83,94.11,7804.62,85.59,137.4,30.45,664.05,24.24,23573.47,108.14,4391.46,37.05,1010.38
16-07-2022 00:00,5.93203,150230.3116,102.96711,59762.10543,0.59,18.39,2013.56,32704.58,144.74,12905.07,130.59,4865.45,10.63,1549.1,89.98,138.57,28.18,529.45,21.49,20498.31,108.29,4360.19,35.67,955.23
17-07-2022 00:00,0.50867,4125.223892,44.02912,7568.919287,0.55,15.48,1975.48,25086.78,128.87,8187.95,5.53,166.06,3.19,286.43,88.21,136.68,23.17,324.91,h,h,100.57,3604.15,29.93,728.19
18-07-2022 00:00,8.08217,551505.0585,140.67618,97484.35614,0.62,18.57,1980.21,33652.23,149.56,14504.14,66.72,7939.4,12.84,2023.75,82.68,126.55,30.83,661.57,24.72,22419.42,102.47,4038.14,36.73,959.66
19-07-2022 00:00,7.6858,422969.8868,127.01334,97457.0413,0.62,18.4,1997.15,32665.89,138.92,13953.87,59.53,2589.8,8.81,1533.55,80.75,129.94,30.17,597.65,24.31968,23970.27,100.55,3929.91,35.12,917.77
