,Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
0,"June 1, 2020",4.85,436996.69,172.11,104275.13,0.43618,7.6822045,476.9671,10413.10897,76.80648,9072.554678,84.86,6326.17,20.12,2084.74,23.82175,44.3673669,5.43,95.36,17.5486,15056.2426,105.8184,4764.812,29.01883,696.5611792
1,"June 2, 2020",4.5434,361878.8715,100.06772,65259.01611,0.44138,7.6655157,476.78182,9951.298586,72.24891,8215.412747,143.33,14387.49,63.13,3613.36,24.3803,46.225374,5.21,81.15,18.25,16041.19035,105.13087,4781.974663,28.29832,676.7526225
2,"June 3, 2020",4.30157,330632.8923,100.36426,62985.75019,0.43952,7.4760377,456.2593,9622.375213,68.14805,7653.707593,40.66,2985.88,38.46,2288.95,25.36248,47.2130571,5.24,81.36,16.76,14536.47,99.48995,4426.915552,28.85204,668.8848482
3,"June 4, 2020",4.35152,329072.4474,94.65655,63148.28862,0.44828,7.3238377,463.04959,9639.502869,70.68543,7705.893342,286.04,5113.36,37.8,3592.44,25.80935,48.3890647,5.51,83.05,17.39,14865.92,101.38002,4424.531824,29.56756,648.9226386
4,"June 5, 2020",4.56267,365468.952,111.26259,68932.7186,0.47535,7.3247942,464.79398,9539.524729,72.99507,7705.245526,70.96,3166.1,88.48,9558.57,25.99207,48.6014335,5.33,85.94,18.25,15214.06,101.1915,4321.009311,32.65205,646.9891603
5,"June 6, 2020",3.78611,111618.2159,77.05,60118.05843,0.53671,7.7088397,458.64927,9119.199542,70.34825,7076.034987,55.08,3528.03,20.46,2336.25,26.73776,49.4765071,5.71,88.65,17.56,13210.67,106.47383,4539.727197,41.60888,722.7227642
6,"June 7, 2020",h,h,8.35691,2651.29317,0.43795,5.5799212,427.25912,6874.9973,54.24646,4350.245887,h,h,h,h,25.20205,48.2508314,4.56,58.07,h,h,88.96773,3389.11648,29.38402,474.4466775
7,"June 8, 2020",5.32742,343217.5274,121.32275,68564.97478,0.61689,8.2091203,469.99287,10062.17049,71.29805,8143.193534,97.13,3183.71,76.62,5137.65,26.14177,46.3451478,6.14,102.27,20.45,14905.54,109.95743,4663.918435,50.39572,811.1880748
8,"June 9, 2020",4.94615,295808.2369,95.19347,68888.07719,0.63,8.43,466.98338,9786.857657,69.54556,7725.253023,153.41,3759.64,14.01,1632.16,26.66894,48.4505819,6.11339,97.2470552,20.46,16020.33,109.50986,4612.788209,53.09,844.86
9,"June 10, 2020",4.78815,332717.289,87.89294,63676.18544,0.69205,9.1144115,461.58058,9839.410284,69.47982,7650.198805,60.69,9100.73,80.53,8699.34,28.47821,51.2665269,6.09325,100.7856767,21.4,16443.04,109.86656,4616.177724,49.40113,813.2915446
10,"June 11, 2020",4.6815,325252.8441,79.90802,69624.46127,0.63,8.4,449.65,9499.97,68.71,7424.38,149.39,7076.68,16.34,1885.18,28.08583,51.3878393,6.30987,107.8746281,20.2,15962.74,105.44052,4425.34601,46.81,801.79
11,"June 12, 2020",5.23362,431435.8149,78.75303,72097.77863,0.63961,8.9763331,453.42912,9288.433726,68.23533,7365.121365,50.51,2389.14,21.36,2555.54,29.64187,53.1278199,6.32277,99.4126053,20.5,16135.23,106.36509,4439.666414,43.50132,791.5939529
12,"June 13, 2020",h,h,16.07575,5053.557916,0.58489,8.2390929,289.00253,4333.739249,47.24816,4517.003189,h,h,h,h,28.83639,52.8041595,5.16792,75.2604797,h,h,100.30331,4090.223587,38.09648,712.7737251
13,"June 14, 2020",h,h,10.82748,2674.318711,0.39485,5.5253345,435.87,7238.232876,57.40624,4388.975789,h,h,h,h,26.58366,50.2786772,5.39585,73.0325252,h,h,80.50136,2920.067157,24.32333,449.2894245
14,"June 15, 2020",6.73663,489520.1202,95.28147,88318.82399,0.53362,8.036984668,463.91469,9725.940724,72.58162,8165.451246,93.28,5950.57,68.28,5306.86,27.50834,47.9115147,8.27,147.37,29,21170.32,100.70157,4212.03699,36.30866,716.9510335
15,"June 16, 2020",5.31426,329380.8933,82.53249,88072.57148,0.54833,8.1890834,469.24346,9361.87362,67.36546,7244.153282,177.77,6101.41,19.89,1863.97,27.23052,49.4403909,7.23122,125.2381751,25.71,20977.17,97.91441,4058.764391,34.63571,696.3924952
16,"June 17, 2020",4.96661,321418.9069,72.76998,64135.4917,0.53836,8.035623949,446.58304,9087.238502,68.21495,7098.010307,58.41,2713.92,9.84,1325,28.6,52.06,6.97598,117.0284785,22.24,17452.45,99.15097,4018.481585,34.0051,690.7794457
17,"June 18, 2020",4.78605,335846.1595,70.91951,76040.08425,0.58279,8.4118687,433.31743,8793.323442,66.09145,6929.780254,127.05,4687.23,13.12,1580.04,29.33827,53.8151728,6.8359,117.2842529,20.69,17511.03,94.85363,3800.050901,33.26725,682.1174728
18,"June 19, 2020",4.71551,336777.891,65.82844,64031.90071,0.56548,8.3368294,440.29209,8512.468179,65.63303,6593.330339,100.14,2283.31,12.08,1186.34,29.27676,54.1981359,6.05629,100.8518106,19.09,16296.57,93.03071,3659.34087,32.12759,661.1746853
19,"June 20, 2020",3.87281,82992.86207,53.97209,43978.10317,0.48062,7.3706277,437.74652,8280.129006,64.78842,6129.247386,64.09,3046.25,29.76,2931.04,28.49106,53.2817068,5.93294,98.50779,18.74,15216.63,93.75148,3684.39836,27.31537,575.7107563
20,"June 21, 2020",h,h,6.0616,2093.334083,0.3333,4.89552405,356.52732,4938.442783,45.952,3314.191724,h,h,h,h,22.74338,49.8592767,4.65196,63.475462,h,h,67.3316,2262.90744,17.23627,349.427434
21,"June 22, 2020",5.13852,392434.0422,95.50014,73128.6048,0.50671,7.9827402,459.5468,9375.196451,68.48067,7111.423727,164.62,3777.18,19.53,1844.5,27.09581,47.9214832,6.63005,114.7906923,20.37,15267.04,97.66407,3843.194262,31.23405,663.2947798
22,"June 23, 2020",4.79047,330592.0529,94.77534,95774.00597,0.5705,8.7682392,452.99435,8650.023156,66.61695,6780.849733,98.19,3307.045593,9.37,1374.18,27.7484,50.8332465,6.34477,108.3621935,19.97,15936.12,93.53279,3651.492414,31.32035,668.0433892
23,"June 24, 2020",4.80322,326049.651,71.5239,68814.85183,0.57,8.68,477.54,8942.45,65.81,6840.45,85.42,2642.41,9.53,1073.74,28.76,52.54,6.27,110.47,19.36,16881.89,93.74055,3654.8322,30.02,661.93
24,"June 25, 2020",4.73562,331568.4744,66.47256,86276.4916,0.56213,8.7054141,456.49271,8531.51824,66.15843,6927.48,175.59,5413.91,23.92,2028.04,28.56681,53.1637035,6.04065,115.2837441,19.83,16986.62,88.93783,3479.38813,28.24715,647.9821347
25,"June 26, 2020",5.29307,425126.2236,71.37461,89606.8474,0.58,8.95,455.45,8660.95,66.32,6910.38,55,2991.67,14.58,1909.37,29.4,53.82,5.61,108.36,19.54,16727.35,92.29,3618.91,28.66,661.34
26,"June 27, 2020",h,h,13.77369,6805.169381,0.52,8.33,436.26,7586.08,62.86,5836.21,h,h,h,h,29.17,53.85,4.93,81.78,h,h,90.47,3525.75,28.11,634.87
27,"June 28, 2020",h,h,6.57923,2336.184594,0.3,4.52,397.91,5544.8,49.17,3612.89,h,h,h,h,27.19,52.65,3.89,60.37,h,h,73.02,2491.09,16.98,364.95
28,"June 29, 2020",7.00889,584660.8299,109.64273,129714.5443,0.52,8.56,430.17,8825.17,72.11,8319.76,196.51,9710.78,61.58,2989.02,28.01,48.86,5.98,136.04,28.84,23284.53,94.89,3877.57,28.18,655.14
29,"June 30, 2020",6.14231,701509.8354,143.16587,149509.5053,0.43,7.46,505.09,11811.09,83.56,10144,120.27,10462.82,20.17,1695.21,28.37,51.53,6.24,135,24.23,19341.41,102.06,4410.74,28.09,658.83
30,Total June 2020,119.67608,8651977.724,2274.01512,1906586.124,15.5455,232.8883784,13369.34707,261835.5156,1989.11479,206950.8285,2708.4,124105.4356,788.96,70491.49,819.24178,1511.919018,176.42281,2969.675569,496.3786,401440.5629,2903.73604,118665.2221,990.73718,19749.00024
