Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-06-2021 00:00,5.43491,449362.8252,237.68844,98894.41954,0.55,16.24,978.07,21837.51,117.92,12615.42,87.42,4238.43,19.39,2784.12,41.62,73.99,13.6,207.22,16.58,18119.89,97.97,4620.35,30.12,917.45
02-06-2021 00:00,5.41562,346178.7231,124.39289,75164.19901,0.55,15.91,981.37,20668.35,110.79,11264.75,126.3,4367.79,83.36,4596.29,43.18,75.52,13.4,208.69,17.46,17105.56,100.7,4708.97,30.67,911.55
03-06-2021 00:00,5.24504,348751.5362,113.53395,80124.66235,0.53,15.14,928,19629.84,105.12,10689.35,117.99,4074.61,43.78,2719.46,43.93,77.2,13.61,217.35,16.15,17321.43,93.66,4290.72,29.64,860.9
04-06-2021 00:00,5.59012,449171.9914,120.98752,84235.06819,0.57,15.12,908.24,18987.07,104.49,10414.92,85.9,2887.08,28.02,3750.16,45.98,79.86,13.75,211.81,17.56,16422.28,93.12,4196.54,30.89,872.42
05-06-2021 00:00,4.04242,143304.0133,84.46025,51654.26665,0.54,13.68,921.2,18465.68,98.88,9299.53,98.27,3361.15,93.39,11301.78,45.87,79.46,13.63,228.56,15.57,14242.9,88.39,3944.91,27.59,771.46
06-06-2021 00:00,0.3063,2416.119986,22.0643,4656.633969,0.39,9.41,850.62,13881.64,82.44,6182.58,0,0,0,0,43.57,77.89,12.15,159.57,0,0,77.65,3126.25,21.15,548.33
07-06-2021 00:00,6.50302,393387.3154,150.93697,100867.2797,0.62,15.67,958.53,20566.61,111.15,10926.89,83.79,3027.04,80.29,6292.98,46.14,75.36,16.29,268.45,19.54,16421.42,102,4555.51,32.15,900.26
08-06-2021 00:00,5.92599,346983.0256,128.52526,77463.90191,0.58,14.55,959.49,19555.25,106.48,10269.49,79.2,3997.88,35.57,2823.37,47.27,79.41,16.23,266.68,19.74,18097.01,102.44,4576.58,30.47,854.82
09-06-2021 00:00,5.80315,364541.6194,113.29498,70541.95192,0.59,15.26,959.32,19616.4,104.08,10165.87,149.44,4035.43,12,1479.68,47.63,80.61,15.86,275.09,19.82,17220.66,100.75,4435.68,30.43,837.28
10-06-2021 00:00,5.93752,375251.0718,115.44547,75218.01398,0.58,14.57,960.68,19826.78,105.65,10082.94,106.74,3810.21,101.60657,12102.13002,48.93,85.03,16.57,306.24,20.56,18559.57,99.62,4367.54,30.01,824.24
