Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-06-2022 00:00,7.82415,535663.1342,287.2777,140338.0552,0.78,23.54,1976.68,42008.82,191,21074.35,118.17,5756.97,24.95,3272.25,95.83,151.86,26.21,417.4,22.69,24428.98,134.53,6034.39,57.55,1542.96
02-06-2022 00:00,7.3314,488486.1275,159.15231,110702.9716,0.74,21.92,2186.08,43887.84,176.85,18998.47,138.61,3913.06,117.13,6361.91,93.64,147.32,27.78,466.8,22.1,25303.62,128.26,5782.98,53.63,1445.93
03-06-2022 00:00,7.45096,484643.0037,166.31929,106129.24,1.03,29.96,2050.04,38200.28,165.61,17344.3,74.75,3267.91,45.9,3221.99,93.95,146.35,26.64,446.25,21.31,23443.97,121.76,5349.93,52.26,1404.58
04-06-2022 00:00,6.06602,153178.8426,127.04362,64588.58305,1.23,35.66,1859.27,35010.94,156.05,16202.1,128.87,4468.4,22.84,3637.47,100.16,150.63,26.63,442.16,22.7,27558.84,127.04,5585.49,48.08,1300.96
05-06-2022 00:00,0.55898,4710.553687,46.13553,8683.986517,1.11,30.02,2222.02,34073.12,149.73,11203.2,11.15,155.95,121.1,12241.74,100.06,147.85,23.7,344.2,h,h,113.12,4476.1,37.26,931.23
06-06-2022 00:00,8.15282,596922.7067,159.03666,121777.4696,1.27,35.23,2020.38,39158.04,169.43,17712.57,239.5,3245.58,47.8,4280.81,91.72,136.7,29.72,534.61,26.49,23627.63,117.49,5135.07,46.58,1247.26
07-06-2022 00:00,7.8594,467059.1757,184.41455,109186.8921,1.35,37.79,1995.9,37704.57,165.56,17281.25,86.01,6071.27,72.69,6158.75,89.5,138.19,29.55,522.32,25.24,24676.12,121.78,5329.12,45.33,1211.22
08-06-2022 00:00,7.56547,442549.4018,151.96711,98088.00577,1.4,38.11,2146.97,38922.92,162.78,16699.36,162.96,3683.59,33.74,2760.33,92.66,143.38,29.19,529.16,23.78,23389.42,127.43,5566.86,46.34,1224.2
09-06-2022 00:00,7.45894,422264.7452,159.1148,97593.3781,1.36,37.19,2042.38,36686.89,156.14,16130.25,124.92,4887.49,24.14,2142.75,95.09,146.23,30.15,560.86,23.33,23129.65,120.09,5177.66,42.86,1135.86
10-06-2022 00:00,8.20337,602574.6061,150.88106,117689.8512,1.44,39.21,2021.75,36538.99,160.32,16290.16,127.29,5619.1,119.05,14037.42,97.66,149.46,30.33,608.66,25.02,25076.54,125.5,5375.18,43.28,1152.48
11-06-2022 00:00,1.53504,14013.2081,62.78955,17529.32532,1.4,39.59,2037.13,33508.5,149.32,12755.81,100.94,1646.56,7.29,826.84,101.11,151.44,28.15,478.31,h,h,121.76,5194.39,41.06,1118.68
12-06-2022 00:00,0.50397,4128.505323,40.88403,7377.036458,1.24,31.87,1952.53,26074.45,134.21,8932.18,1.95,88.11,9.26,552.74,101.79,149.24,24.34,313.15,h,h,108.19,4150.56,32.4,805.86
13-06-2022 00:00,9.77882,560277.0252,169.78206,116059.0097,1.48,39.45,2006.68,37447.27,161.68,16143.46,128.82,5181.59,18.98,2031.98,92.09,135.33,33.98,670.1,36.04,32307.08,118.24,4965.92,42.61,1144.89
14-06-2022 00:00,7.98513,459557.595,140.51599,100024.9764,1.4,37.89,1986.69,34441.89,152.39,15058.67,66.28,5187.46,12.22,2066.55,87.53,135.29,31.68,613.04,27.47,26287.97,111.09,4627.98,39.18,1041.11
15-06-2022 00:00,8.07371,570644.4844,140.89726,104194.7094,1.39,37.43,2040.5,35105.4,155.3,15229.09,71.12,2578.03,97.2,7822.03,87.57,140.16,30.82,651.82,26.84,25478.72,114.38,4739.98,38.17,1027.26
16-06-2022 00:00,7.57028,442731.0195,126.82098,97497.33762,1.33,35.7,2017.36,34093.76,149.13,14650.7,114.33,5661.35,12.73,1758.18,90.32,143.33,30.46,630.88,24.25,24112.89,108.15,4416.62,38.57,1032.21
17-06-2022 00:00,7.65575,515252.3155,127.98999,107130.1739,1.43,38.17,1962.92,32304.39,144.8,13587.49,78.48,3328.29,9.71,1627.05,92.97,145.55,29.85,586.98,22.78,24404.28,104.09,4160.18,36.18,965.49
18-06-2022 00:00,6.10079,159214.1964,101.03386,58575.5584,1.25,33.55,1818.97,29385.68,141.94,12725.65,86.06,4193.39,17.23,2038.05,96.81,147.71,26.71,491.65,20.91,20289.86,108.75,4332.08,31.96,868.72
19-06-2022 00:00,0.52089,4025.121727,40.11012,7859.128375,1.2,29.2,1670.82,22291.5,123.07,8115.8,0.99,128.8,3.86,186.79,97.49,146.75,21.31,289.61,h,h,103.91,3656.97,25.8,644.93
20-06-2022 00:00,8.20827,522810.4845,140.19574,100586.0856,1.39,36.46,1878.08,34282.55,151.34,15329.19,38.32,1905.08,34.01,3790.16,86.68,132.26,30.04,654.03,24.91,22964.56,106.08,4227.75,34.17,917.44
21-06-2022 00:00,7.71272,474429.5948,126.72772,99106.33045,1.54,41.2,1904.54,32914.38,147.62,14626.81,68.4,2984.51,35.75,2460.5,85.83,135.03,28.16,559.42,24.4,25132.01,101.32,4002.99,37.25,984.01
22-06-2022 00:00,7.42116,449794.318,134.02148,87381.67118,1.48,38.65,1885.5,31969.65,146.12,14450.03,92.36,5771.37,21.53,2188.08,88.42,139.62,27.02,532.42,22.78,22924.2,102.23,3997.52,35.86,931.81
23-06-2022 00:00,7.38201,448681.1882,121.46783,91019.63629,1.46,37.98,1854.26,30994.9,143.75,14031.51,68.01,2987.38,12.92,1440.2,90.15,142.3,26.46,510.78,21.65,22671.32,97.99,3796.84,33.93,883.51
24-06-2022 00:00,8.10643,544072.706,129.56091,124373.731,1.5,39.26,1904.89,31022.28,144.14,14285.16,74.88,4471.52,10.11,1613,91.22,144.58,25.29,493.93,21.83,23506.71,99.19,3847.37,34.12,891.64
25-06-2022 00:00,1.60834,14682.3951,59.9252,16977.53622,1.51,40.17,1898.02,29437.83,140.62,12126.29,85.16,1589.1,10.28,1303.74,96.53,149.8,24.23,411.29,h,h,103.73,4067.14,32.85,866.53
26-06-2022 00:00,0.48926,3961.084274,39.88378,7218.982736,1.44,34.48,1865.08,23014.68,124.01,8081.65,0.48,79.97,3.96,212.42,97.97,148.36,20.56,265.83,h,h,94.88,3293.89,26.87,647.78
27-06-2022 00:00,10.17144,625024.5213,138.07229,128262.7834,1.68,42.8,1908.78,33292.2,150.9,15403.64,120.48,7488.34,22.84,2423.87,87.92,135.61,26.76,568.8,35.39,33712.14,101.94,4035.24,35.18,932.63
28-06-2022 00:00,8.39763,645924.5419,154.84259,124159.4352,1.54,40.14,1865.29,31372.09,146.33,15111.26,94.55,11977.75,57.9,3126.97,85.82,138.45,25.8,511.92,27.57,27737.77,97.96,3874.91,34.06,1006.06
29-06-2022 00:00,8.22476,739581.9953,159.73654,116911.3243,1.5,40.17,1850.76,32020.73,144.39,15357.31,117.41,7398.01,9.86,1516.16,85.03,140.54,23.72,484.39,23.09,25428.73,100.64,4004.42,32.58,1035.09
30-06-2022 00:00,8.4974,959194.9347,275.72795,228989.6786,1.57,42.91,1798.81,37246.08,152.48,18838.33,90.98,8203.43,11.16,1959.34,85.9,143.36,25.96,563.19,21.15,21602.91,103.31,4407.37,31.19,975.94
Total June 2022,194.41531,12356053.53,4022.3285,2716012.884,40.44,1085.7,58629.08,1014412.62,4557.01,443776.04,2712.23,123919.36,1048.14,99060.07,2779.42,4302.68,821.2,15153.96,593.72,599195.92,3344.83,137612.9,1167.16,31318.27
