Data for the Day,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,NPCI Operated,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,,,,,,,,,,,,,,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-06-01 00:00:00,8.19475,663197.8634045101,300.20792,167457.263194968,0.22,10.32,3256.17,62898.87,178.84,21300.02,125.95,6098.81,30.63,3974.31,109.9,186.5,35.65,622.97,19.65,25478.96,126.17,5928.75,31.79,946.13
2023-06-02 00:00:00,8.03329,636306.028635422,199.62924,123157.95736596899,0.23,10.77,3262.64,57644.81,177.76,21256.16,100.41,4932.73,131.14,8045.57,106.34,175.65,35.32,627.78,19.61,24049.78,123.86,5747.38,29.54,880.84
2023-06-03 00:00:00,6.66955,187074.60357424902,154.39659,72719.76047693299,0.25,11.719999999999999,3232.11,54799.2,169.45,18703.32,100.5,5267.129999999999,93.42,5735.29,117.36,189.35,34.71,599.77,20.3,21466.51,122.92,5657.33,31.07,927.59
2023-06-04 00:00:00,0.74406,6950.1978038669995,77.68812,13521.482662375,0.23,9.14,3119.87,45018.03,151.51,12836.06,9.47,211.17000000000002,28.42,3342.88,118.22,185.14,28.89,414.45,h,h,109.48,4530.1,25.17,695.17
2023-06-05 00:00:00,9.15561,566942.9230221481,200.46036,128639.479571415,0.31,12.791693800000001,3211.94749,59403.414097088,178.48,21099.58,302.51,4977.76,204.1,20486.37,105.43,168.19,41.02,872.84,24.58,24096.91,119.67,5409.04,33.2475,970.9685511
2023-06-06 00:00:00,8.63294,570838.9270940061,203.25625,119074.66661146202,0.3,11.92,3157.26651,54850.162840623,164.63,19107.38,147.89,3518.35,37.22,4005.51,103.36,170.38,38.21,756.72,23.46,24986.24,115.83,5171.27,32.41,933.44
2023-06-07 00:00:00,8.57661,596177.699115266,236.48341,117149.62615598501,0.35000000000000003,13.34,3260.02,56073.86,170.37,19564.95,148.76,6407.67,81.26,7178.08,106.58,176.47,36.49,737.25,21.69,22987.18,120.97,5420.3,33.31,961.96
2023-06-08 00:00:00,8.19942,541303.682629476,190.18744,107843.164613353,0.31,12.06,3178.07,52908.79,165.75,18676.93,107.63,5192.94,37.05,3713.31,107.21,177.45,35.48,736.45,21.55,23379.16,120.47,5386.52,33.16,971.04
2023-06-09 00:00:00,9.00117,597397.67921519,217.70035,118012.891877469,0.41000000000000003,15.72,3193.67,52262,163.42,18379.63,137.47,3887.83,28.96,3255.36,109.4,182.71,35.86,759.41,22.13,23580.95,119.88,5314.35,34.7,1004.56
2023-06-10 00:00:00,2.02685,19647.771455887,100.88873,26904.853855174,0.46,17.779999999999998,3229.53,51283.62,162.01,15905.84,184.73453,2791.4701888580025,90.96214,14278.62786191899,116.22,187.08,32.84717,716.8092047,h,h,122.93,5478.56,34.74,991.67
2023-06-11 00:00:00,0.68027,5971.418091955,75.90126,13474.538336658,0.46,14.83,3116.13624,39593.489429636,145.40387,10446.025520061,112.28786,1123.024864134,7.66534,905.689065396,114.05,181.6,26.45236,384.6668666,h,h,108.07,4307.5,30.15,757.51
2023-06-12 00:00:00,10.66259,665569.940990596,188.0325,129451.968965125,0.46,15.21,3146.43,53040.32,164.94,18704.68,130.7,5603.12,62.74,4170.51,104.78,167.52,39.1,868.45,35.82,33125.93,115.95,5071.870000000001,32.33,859.37
