,PAYMENT TRANSACTIONS,,,,,,,,,,,,,,,,,,,,CASH WITHDRAWAL,,,
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
Date,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
"August 1, 2020",h,h,55.29,20114.02,0.57,8.52,554.43,10981.35,84.69,8404.61,h,h,h,h,29.42,53.14,5.08,85.18,h,h,104.29,4612.22,23.41,583.70
"August 2, 2020",h,h,10.99,3078.99,0.50,6.68,501.86,8082.04,65.67,5347.97,h,h,h,h,25.19,47.91,4.27,64.88,h,h,82.40,3270.73,21.50,484.97
"August 3, 2020",4.09,319623.96,137.34,84243.92,0.40,6.11,508.98,9804.57,81.23,8289.47,181.60,5668.48,102.08,6137.85,27.53,45.19,4.86,82.83,18.38,15322.81,104.45,4226.64,23.20,530.45
"August 4, 2020",5.50,285509.58,111.28,78472.78,0.54,8.33,526.55,11230.53,84.43,9259.91,103.49,2487.46,43.02,3939.42,28.21,47.17,6.44,118.16,24.32,19931.51,99.15,4526.65,24.24,636.38
"August 5, 2020",4.81,322914.36,99.21,77829.51,0.56,8.60,492.26,10226.47,83.36,8887.28,90.82,3052.87,98.14,9489.02,29.28,50.44,5.89,108.56,22.85,18426.54,96.99,4339.99,23.94,603.33
"August 6, 2020",5.00,336090.74,103.43,86625.32,0.61,9.21,459.74,9517.22,84.60,8626.75,137.43,2481.62,21.18,2505.40,30.46,53.46,6.94,120.51,23.08,18415.83,104.16,4629.47,25.95,644.11
"August 7, 2020",5.70,316649.38,132.89,93507.61,0.57,8.47,504.21,10464.83,86.54,9085.15,82.02,3806.89,58.39,3934.76,32.12,56.37,6.98,120.80,23.64,18666.74,111.16,4913.26,26.86,652.30
"August 8, 2020",h,h,16.45,8205.33,0.38,5.99,538.93,9938.80,77.43,7139.57,h,h,h,h,32.41,57.91,6.63,99.88,h,h,99.94,4293.32,18.82,454.13
"August 9, 2020",h,h,9.35,2915.89,0.37,5.26,440.12,6578.76,59.30,4529.82,870.09,17401.91,h,h,28.05,54.17,5.79,84.65,h,h,73.28,2855.34,18.25,407.29
"August 10, 2020",7.03,428330.23,140.47,97391.69,1.04,14.69,511.87,10388.90,93.32,9889.43,136.79,3824.46,89.69,9079.45,30.39,51.76,8.33,154.24,33.12,23984.94,119.98,5165.17,46.31,1053.55
"August 11, 2020",4.76,284861.41,91.87,66477.69,0.92,12.90,578.27,11411.04,86.35,8468.22,52.80,968.03,23.42,2548.40,30.67,54.89,8.20,142.02,24.80,18302.62,114.06,4880.50,40.87,940.91
"August 12, 2020",3.65,250174.72,83.68,58909.30,0.87,12.32,558.47,10962.22,81.66,7844.86,56.24,2561.60,19.25,1939.61,30.27,55.01,8.21,137.30,16.76,13221.68,102.36,4314.02,34.09,798.42
"August 13, 2020",5.55,308727.69,98.59,83811.41,0.79,11.72,539.19,10585.91,81.31,8194.45,91.88,2020.50,17.74,1514.35,31.19,55.02,8.69,150.84,25.22,20332.50,98.22,4138.43,33.68,830.73
"August 14, 2020",5.72,365422.75,92.07,83445.98,0.90,12.64,539.34,10316.23,82.18,8104.78,107.02,3245.09,21.08,1780.12,32.54,56.05,8.17,145.00,23.34,18931.77,105.88,4374.93,34.84,862.35
"August 15, 2020",h,h,8.89,3931.87,0.58,8.72,489.26,7615.92,66.09,5083.94,h,h,h,h,29.85,54.61,6.25,92.16,h,h,87.23,3402.55,22.73,550.25
"August 16, 2020",h,h,6.59,2450.05,0.48,6.62,460.73,6513.29,55.73,3890.45,h,h,h,h,26.69,49.75,6.41,90.41,h,h,67.45,2474.02,17.76,410.20
"August 17, 2020",6.20,362002.33,114.85,93308.37,0.71,10.65,491.93,9319.65,85.45,8575.21,114.92,3961.32,62.68,5328.62,30.34,49.83,8.78,163.30,29.61,22430.58,103.76,4248.95,31.32,786.12
"August 18, 2020",5.58,311514.39,93.21,73257.32,0.87,12.76,492.12,8825.77,86.31,8419.76,106.02,2568.16,17.81,1762.01,30.91,53.76,8.05,144.69,27.18,21194.39,101.56,4151.92,31.11,792.91
"August 19, 2020",5.22,348698.29,91.34,74304.66,0.89,12.55,543.21,10080.86,84.60,8149.36,78.56,2873.60,8.00,1219.52,32.41,57.35,8.62,162.01,23.37,19325.91,98.57,3950.67,31.57,779.51
"August 20, 2020",4.84,343745.03,94.85,129691.79,0.85,12.20,556.27,10676.16,83.15,7885.48,73.47,1656.16,23.33,2498.88,33.31,58.98,8.26,161.74,22.03,17752.12,96.36,3847.42,29.12,702.12
"August 21, 2020",5.24,311733.32,82.38,73075.50,0.79,11.44,548.43,9893.06,82.84,7745.89,75.33,2577.48,47.87,1870.01,34.44,60.08,7.37,138.84,21.17,19706.52,99.98,3862.16,27.94,658.82
"August 22, 2020",h,h,10.22,5101.55,0.57,8.52,498.88,7381.02,67.47,5378.04,h,h,h,h,31.01,57.90,5.92,100.95,h,h,87.03,3192.95,21.38,502.00
"August 23, 2020",h,h,6.26,2309.26,0.40,5.74,468.13,6217.56,55.33,3644.85,h,h,h,h,28.52,54.61,5.18,73.66,h,h,65.25,2260.14,14.87,334.13
"August 24, 2020",6.59,333928.27,98.75,83752.10,0.74,10.92,551.02,10572.50,85.94,8463.53,133.17,5014.34,22.95,1804.59,32.16,53.43,8.23,169.50,29.89,23171.94,101.39,3984.09,28.80,686.18
"August 25, 2020",5.65,298166.46,84.35,84795.30,0.69,10.72,561.84,10383.43,84.25,8235.26,51.54,6865.60,21.88,2325.35,32.84,57.39,7.68,152.97,26.98,22412.89,95.73,3779.80,26.57,636.11
"August 26, 2020",5.40,325631.80,86.75,72173.30,0.59,8.96,552.49,10182.13,84.69,8089.01,143.62,3671.42,8.09,1089.32,34.52,60.68,6.99,140.48,23.87,19756.72,95.62,3745.77,22.55,536.68
"August 27, 2020",5.05,345737.45,78.46,91501.51,0.71,10.98,544.74,10028.61,82.46,7961.93,64.80,2863.91,15.60,1478.10,34.86,62.11,7.32,149.25,21.36,18211.04,91.66,3640.59,26.03,613.31
"August 28, 2020",5.64,438112.22,99.64,104857.68,0.68,10.14,549.31,10209.71,84.46,8356.87,62.82,4628.82,54.77,2419.75,36.28,62.93,6.33,129.30,21.91,18726.63,97.05,3876.20,24.44,579.28
"August 29, 2020",3.63,106150.58,55.42,52715.94,0.64,9.88,545.21,9725.31,79.38,7460.01,52.67,2353.43,7.28,1001.77,36.15,62.61,5.62,102.82,16.59,19131.93,94.56,3755.03,22.87,540.63
"August 30, 2020",h,h,7.17,3005.02,0.40,5.86,493.79,6981.95,61.84,4558.37,h,h,h,h,32.19,59.97,4.30,64.84,h,h,73.08,2617.98,14.02,320.15
"August 31, 2020",5.92,548654.74,144.06,135291.74,0.74,11.35,586.69,13211.82,99.18,11166.77,104.55,6286.56,7.55,1161.85,34.11,58.11,6.32,130.70,20.26,17894.00,104.09,4380.00,25.26,601.84
Total August 2020,116.77,7292379.70,2346.09,1930552.38,20.35,299.45,16188.27,298307.62,2461.24,235137.00,2971.65,92839.71,791.80,66828.15,968.32,1712.59,212.11,3782.47,519.73,425251.61,2976.69,121710.91,814.30,19512.86
