Data for the Day,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,NPCI Operated,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,,,,,,,,,,,,,,,,,,,,,,,,
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
2023-03-01 00:00:00,9.09693,658149.400999035,300.56273,153924.89085765101,0.28,12.280000000000001,3012.07,59817.25,189.92,24041.1,122.85,6911.42,30.31,3957.54,100.65,176.54,38.11,578.47,25.07,27996.39,130.64,5983.94,46.15,1258.06
2023-03-02 00:00:00,8.74268,616350.3683583881,194.4652,124201.57478978201,0.28,12.58,2813.58,53383.73,182.15,21818.8,99.6,4819.799999999999,128.64,7861.05,99.31,172.5,38.99,588.38,24.34,26780.49,128.58,5771.75,46.05,1277.57
2023-03-03 00:00:00,8.99895,586897.706942865,216.41626,125427.890344648,0.28,12.45,2941.07,52497.8,176.78,20199.79,104.74719999999999,5160.598895284994,88.08492,5459.492064882997,102.69,175.73,39.87227,606.3107386,23.67179,26849.492670141004,124.3,5532.59,43.64,1232.43
2023-03-04 00:00:00,7.7045,204804.20024256402,184.20134,90260.935694933,0.33,15.59,2985.36,53722.03,176.61,19895.15,93.72999999999999,15473.32,27.72,4356.3,109.07,178.72,39.71,608.35,23.93,24865.89,129.73,5845.92,43.03,1241.27
2023-03-05 00:00:00,0.78473,7739.11105807,78.71596,14431.465986073,0.26,11.860000000000001,2870.1,42705.74,162.76,13380.69,3.7,368.45000000000005,155.66,15826.94,108.07,173.7,35.4,486.99,h,h,121.72,5031.62,35.68,983.69
2023-03-06 00:00:00,10.14602,683090.930607837,243.0586,148161.294964579,0.33,15.01,2976.54,55488.96,186.25334,21802.153411226,164.16,7122.700000000001,70.47,5021.77,96.29,152.13,41.82,693.82,27.61,25527.55,131.97,5854.58,47.05,1347.28
2023-03-07 00:00:00,4.79031,119707.295229667,196.27435,78388.44311273101,0.32,13.7,2781.85,43805.38,160.93,16157.47,15.38,2349.13,67.19,6189.75,82.3,132.99,34.55,521.75,13.35,14702.31,125.35,5240.9,37.77,1045.78
2023-03-08 00:00:00,4.85545,482069.361439781,149.82559,75399.070322562,0.16,6.319999999999999,2605.6,38788.84,136.82,13561.39,98.46762,5075.858619709993,39.20739,3545.3036817089965,75.95,118.94,32.54,475.32,15.45234,14488.497258347,96.7,3953.64,20.32,556.87
2023-03-09 00:00:00,8.27712,529764.807061381,175.67535,111835.109031224,0.32,13.75,2730.11,45891.88,163.65,18196.89,165.84,4318.28,23.18,2599.89,90.12,133.43,40.18,663.1,24.3,24280.19,122.02,5236.79,36.15,1036.02
2023-03-10 00:00:00,9.79078,660914.290127657,200.69463,130233.942640771,0.36000000000000004,15.79,2912.25,51625.61,168.52,19379.62,70.35,5883.33,136.35,16531.5,99.09,153.3,41.75,809.53,27.54,28220.52,124.73,5454.01,38.06,1108.1
2023-03-11 00:00:00,2.0065,20151.894692835,95.52095,24509.780704066,0.34,16.05,2822.42,44702.23,162.28,15753.24,67.87,1925.61,13.49,1169.24,106.01,165.43,37.29,584.68,h,h,120.84,5221.01,35.16,1028.05
2023-03-12 00:00:00,0.68331,6176.835544775,67.7901,11115.749889986,0.32,12.8,2721.17,35015.26,143.87,10515.13,3.2399999999999998,270.8,10,908.15,107.62,169.79,31.82,364.84,h,h,104.93,4077.72,27.78,748.93
