Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-05-2022 00:00,0.59118,5355.533524,53.52462,11249.14875,0.38,15.7,2053.98,35380.47,171.66,14317.19,3.07,375.43,15.63,1849.37,91.75,146.41,21.39,242.53,h,h,121.42,5224.39,30.58,887.69
02-05-2022 00:00,8.30568,592932.7058,231.01423,136758.7197,0.46,19.58,2082.15,43127.73,193.31,20060.1,39.06,5027.93,118.47,6573.1,84.23,127.55,26.45,402.58,23.63,23988.54,134.62,6226.45,39.11,1173.76
03-05-2022 00:00,1.57542,25788.16288,77.30138,23837.70315,0.38,15.41,1861.51,32528.65,154.42,14017.09,92.17,1859.03,38.66,2617.97,82.77,124.44,23.01,304.91,h,h,109.52,4755.79,28.58,836.17
04-05-2022 00:00,9.48725,510722.9815,166.95437,115457.5592,0.42,17.12,1944.96,39142.74,167.72,18445.18,104.53,4081.81,25.18,3324.9,86.6,128.67,28.68,428.64,35.85,35195.67,114.86,5144.46,35.91,1071.27
05-05-2022 00:00,8.29324,526830.0299,156.54539,110916.6183,0.43,17.17,1995.45,40116.7,170.4,18241.82,75.32,3674.93,143.1,14343.79,86.92,135.06,28.81,494.83,28.98,29858.36,118.81,5323.66,35.31,1037.78
06-05-2022 00:00,8.43247,547324.3597,166.55291,124375.9087,0.44,17.43,1972.09,38218.9,166.66,17603.61,314.97,6017.83,36.12,3341.87,90.54,141.62,28.27,449.05,25.31,26621.56,118.61,5241.5,36.42,1064.79
07-05-2022 00:00,6.74106,165287.8534,154.73609,73581.27987,0.46,18.41,2060.59,37753.22,168.34,16128.6,39.32,2786.84,70.04,5539.57,98.18,148.06,28.55,442.31,22.56,22899.57,128.62,5745.53,37.73,1095.48
08-05-2022 00:00,0.57085,4673.865721,42.01731,8102.778172,0.4,14.05,1954.13,28907.36,147.38,10505.04,4.74,216.66,27.86,1523.18,97.78,146.09,22.63,264.54,h,h,117.55,4779.22,31.83,863.05
09-05-2022 00:00,8.53851,499525.6271,164.31511,98506.46805,0.45,16.63,1994.1,39710.68,174.94,18394.28,100.74,2477.8,18.8,1834.65,87.64,133.07,29.73,491.12,25.43,24781.73,121.52,5342.83,37.1,1052.07
10-05-2022 00:00,8.27664,502418.0934,148.02035,101936.4182,0.38,14.06,1942.99,37570.27,165.39,16787.53,82.54,5399.3,110.8,13795.18,87.58,135.88,28.95,532.18,28.13,26516.54,120.77,5283.63,28.54,811.88
11-05-2022 00:00,7.95476,454517.1651,144.4598,93732.20434,0.5,18.63,1974.23,36863.35,162.84,16203.63,207.31,7956.73,16.64,2279.29,89.1,138.72,29.4,532.46,25.23,24712.37,121.48,5272.37,39.57,1125.76
12-05-2022 00:00,7.76258,542526.1875,132.5865,117935.5392,0.46,16.3,1848.24,33771.63,157.81,16040.72,92.33,2954.23,14.82,1879.77,90.46,140.97,31.33,540.24,24.28,24070.98,114.84,4890.63,34.83,964.8
