Total,Normalised_RBI_Operated_RTGS_Vol,Normalised_RBI_Operated_RTGS_Val,Normalised_RBI_Operated_NEFT_Vol,Normalised_RBI_Operated_NEFT_Val,Normalised_NPCI_Operated_AePS_Vol,Normalised_NPCI_Operated_AePS_Val,Normalised_NPCI_Operated_UPI_Vol,Normalised_NPCI_Operated_UPI_Val,Normalised_NPCI_Operated_IMPS_Vol,Normalised_NPCI_Operated_IMPS_Val,Normalised_NPCI_Operated_NACH_Credit_Vol,Normalised_NPCI_Operated_NACH_Credit_Val,Normalised_NPCI_Operated_NACH_Debit_Vol,Normalised_NPCI_Operated_NACH_Debit_Val,Normalised_NPCI_Operated_NETC_Vol,Normalised_NPCI_Operated_NETC_Val,Normalised_NPCI_Operated_BBPS_Vol,Normalised_NPCI_Operated_BBPS_Val,Normalised_NPCI_Operated_CTS_Vol,Normalised_NPCI_Operated_CTS_Val,Normalised_NPCI_Operated_NFS_through_ATMs_Vol,Normalised_NPCI_Operated_NFS_through_ATMs_Val,Normalised_NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,Normalised_NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
Jan-22,0.100999726,0.150558207,0,0,2.187157972,2.343292988,0.135801231,0.056578279,1.353735753,0.127398858,2.604130543,2.231869796,0,0.125911614,0,0,0.034380876,0.078164423,1.24432785,0.319860937,1.502592786,0.859455505,4.128194386,2.842970191
Feb-22,0,0,0.014481574,0.163696524,0.49434513,0.542232923,0,0,0,0,0,0,0.267127949,0,0.819921281,0.102841232,0,0,0.712209302,2.293113973,0,0,0,0
Mar-22,5,5,2.794832648,5,1.276906239,1.682125947,1.329981832,1.469242686,5,3.811856394,2.769816414,2.405329313,0.854506957,1.50795468,2.558811686,1.83961558,1.191646522,1.076337727,5,5,3.338465135,3.483469459,2.18307499,2.762212904
Apr-22,1.511355887,0.934825377,0.442827011,0.266222927,0.780736957,1.175605578,1.600680134,1.72182864,3.566554102,2.949925936,0.69640885,0.443799704,1.184399577,0.554119351,2.233090423,2.300267956,1.566461724,0.972977406,2.202212138,4.17520305,2.809282432,3.557525927,1.167364893,2.245716222
May-22,1.551184953,1.039258658,0.751826985,0.496440373,0.977745348,1.135287559,2.148781459,2.344149174,4.494301393,3.324784634,5,1.684804654,1.587643678,0.914230343,3.530259928,2.865333373,2.635240398,2.775193843,1.01212422,1.581941637,3.433189449,3.494091011,3.041474654,3.825220297
Jun-22,1.4200049,2.456785214,1.604277383,1.301690861,5,5,2.022500413,2.060625428,2.446179823,2.906172793,1.397832826,0.48111173,2.156495765,1.753047279,3.048075549,2.61582737,2.641418211,3.733856015,1.12840329,1.740704074,2.695892368,2.292780884,5,5
Jul-22,0.902181815,1.483698347,1.588223506,0.879462222,1.625319227,1.560687103,2.66833434,2.595688499,2.807021247,2.943614022,2.573292857,1.170654088,2.513989716,1.888058966,2.217372667,2.091030209,3.141283911,4.500563724,0.949364719,1.073718556,2.801955689,2.250025984,3.220779221,3.580646941
Aug-22,0.783343829,1.621741066,2.193404125,0.899869309,0.926669099,0.637412537,3.111427374,2.706043537,3.234698185,3.014493467,2.438924842,1.667264057,3.087379008,2.344844129,2.659872959,2.400489506,3.358716089,4.405242488,0.493477028,0,2.936279303,1.807056338,1.948470884,0.960291313
Sep-22,1.810421604,4.190537825,2.869289251,2.287029609,0.706426487,0.654996443,3.412653238,3.181469519,2.905586042,3.428711687,1.635293598,0.781633136,3.403298359,2.985396971,1.82774119,2.398992545,3.566747247,4.668304013,1.486017087,1.445286445,2.055761849,1.197971324,1.603148932,0.884970065
Oct-22,1.010095752,1.483501435,3.840183606,1.353192424,1.371762131,1.354006755,4.207195359,4.226773735,4.328690024,3.998005739,2.962338542,2.871303907,3.891598609,3.129792676,3.375680345,3.17423131,4.241740532,4.682779173,0,0.087363362,5,5,4.769585253,4.325850844
Nov-22,2.63026,2.379016956,3.097091251,1.372486049,0.364830354,0.301617569,4.213292806,3.996134064,2.993457155,3.439840627,0.670292851,2.769577952,4.350045372,3.781477903,3.547991115,3.899022484,4.330915928,4.729073734,0.888045944,1.121444238,1.623745707,1.092655343,0.344784248,0.446245882
Dec-22,3.4918751,4.125739119,5,2.566907593,0,0,5,5,4.566343042,5,1.294515907,5,5,5,5,5,5,5,1.639251276,2.50092377,2.956689514,2.767229669,0.127147047,0.401311537
