Total,Normalised_RBI_Operated_RTGS_Vol,Normalised_RBI_Operated_RTGS_Val,Normalised_RBI_Operated_NEFT_Vol,Normalised_RBI_Operated_NEFT_Val,Normalised_NPCI_Operated_AePS_Vol,Normalised_NPCI_Operated_AePS_Val,Normalised_NPCI_Operated_UPI_Vol,Normalised_NPCI_Operated_UPI_Val,Normalised_NPCI_Operated_IMPS_Vol,Normalised_NPCI_Operated_IMPS_Val,Normalised_NPCI_Operated_NACH_Credit_Vol,Normalised_NPCI_Operated_NACH_Credit_Val,Normalised_NPCI_Operated_NACH_Debit_Vol,Normalised_NPCI_Operated_NACH_Debit_Val,Normalised_NPCI_Operated_NETC_Vol,Normalised_NPCI_Operated_NETC_Val,Normalised_NPCI_Operated_BBPS_Vol,Normalised_NPCI_Operated_BBPS_Val,Normalised_NPCI_Operated_CTS_Vol,Normalised_NPCI_Operated_CTS_Val,Normalised_NPCI_Operated_NFS_through_ATMs_Vol,Normalised_NPCI_Operated_NFS_through_ATMs_Val,Normalised_NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,Normalised_NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
Total June 2020,0.0,0.07165896397529625,0.0,0.0,0.32558025972936033,0.0,0.0,0.0,0.0,0.0,0.39914586579515077,0.4942466291167835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04909827096263397,0.004669707881786778,0.4428349138789487,0.14069786024181552
Total September 2020,0.0726139744073957,0.16195378488204393,0.06369161802585499,0.1268437248863331,0.36832355368432845,0.044916466800206556,0.09437803477923917,0.08171618334440295,0.2377821132443132,0.12715911145801473,0.15144826981051684,0.0,0.09637883471002229,0.10743974647494081,0.13623020511233003,0.13337805988995655,0.08542078923632657,0.08341482366508068,0.2888651271642031,0.1988400529497254,0.1254529945946965,0.06987637785407541,0.047596693782804955,0.0
Total November 2020,0.12618056238870257,0.0,0.15084864045053292,0.15267885283999771,0.0,0.0035087234050757976,0.17792318465081713,0.1570734801879602,0.4131300673121939,0.21190153459953642,0.048435175643318784,0.25361299956940797,0.11672297757899952,0.1256213263104331,0.20781473718987326,0.18359208972158758,0.09688468920814702,0.06520743171195609,0.24840136260797996,0.22066930300308463,0.2901272013534466,0.289487489557001,0.0,0.09145267335291651
Total 2020,1.8653392628322645,1.9568339599983635,1.7057192458608483,2.147516149550963,1.9842067743843463,0.964342921419037,0.8170701061484871,0.8756161325362504,1.8231459085798463,1.6008732611329566,2.6636410447070458,2.231272172116018,2.4348416350156645,2.261612823069448,1.1366743316431136,1.2577728900413319,0.7259901662683146,0.6695054364298063,3.004100737111812,2.3274513803950243,3.1032865659121853,3.084931921574622,2.4726484308958776,2.045416336797785
Total April 2021,0.22172482946948635,0.08793513624532712,0.19301724933759368,0.06841085586002527,0.2802767392555411,0.40386873355650843,0.26570012172548235,0.2819218603942983,0.36554762658377205,0.28227269759299256,0.02595048001289957,0.32230825706922706,0.09169013464304832,0.11777063798163145,0.3986204977427363,0.3935718647257481,0.26955321574894414,0.1957694976320966,0.15259697406080042,0.36092751854801564,0.13329469036140607,0.15055381514839783,0.058726814258413196,0.24420375985873577
Total June 2021,0.23993174462562805,0.23831593715127852,0.21287333276772946,0.09365755175851731,0.5238104812926122,0.4865768103603326,0.29961333549872476,0.347236946512499,0.3091993813902648,0.23522837165020727,0.3664091502758229,0.2582550398235841,0.12639294978109072,0.22623615008301567,0.36736489891004726,0.3311470061213726,0.4288007996826599,0.43543614046830353,0.037275949525262364,0.18057884339140728,0.0,0.0,0.2491112157358517,0.3760383541397899
Total September 2021,0.3822074258306908,0.3324458410764256,0.3559151195088076,0.25135799996254893,0.6268439875390653,0.5206747193422231,0.47244451003271465,0.47769219763651466,0.5479893865588809,0.3571264074149815,0.0,0.2290825506844545,0.12580641170694662,0.19535354828458118,0.5403035156365295,0.46587505895955406,0.6457534829711666,0.7943322878043992,0.3173661431396959,0.3921655578196366,0.18729117479347224,0.1270066082604946,0.2954119379744351,0.30214396999323856
Total December 2021,0.5090305786717454,0.5371098152625268,0.4883230215560227,0.40091414756670873,0.6187261961378295,0.8152853723795254,0.6579443190062468,0.6871013105864041,0.7191952598857826,0.5775859385662577,0.32383662145629,0.5342195828157004,0.2097383669598969,0.28682551408075274,0.7747326008295508,0.6743686108333783,0.6856924996674598,0.6462397207114008,0.40739158418521515,0.5691751490053187,0.2876356627505312,0.2571172125356527,0.3696899331380519,0.43020586137834405
Total 2021,3.8527116676518,3.7806385469864314,3.4868972042468442,3.616330912884748,3.9851118456810353,3.6002822324592216,2.5128556163408144,2.749192018635547,3.7002822464537095,3.3449323390569794,3.813113851932102,3.568984244790788,3.8862375971809477,3.8690134744891727,3.2699655971302293,3.276166651284735,2.8453270298059916,2.8531024179322535,4.614882021920417,4.364760105784154,4.566133676407523,4.616025155367183,3.9462651359579386,4.072490650174688
Total March 2022,0.768421276758228,0.698044675335267,0.668922963726991,0.7769444512501721,0.6056128407973721,0.8694998678022886,0.8289522419103263,0.8497320258806726,0.8636239184728117,0.7783879638791583,0.6729947805382017,0.7221787721644388,0.2679599128365868,0.3929495643491008,0.9118102433807158,0.8037545842146364,0.827174000942678,0.7452569252634487,0.5132454011473766,0.6960259776010616,0.2916837496877931,0.281268376842464,0.5035408488187081,0.6036732980612022
Total June 2022,0.5203891604090977,0.47120937246057826,0.5732257786437022,0.3965212915141406,1.8801060907913771,1.6769949856986832,0.9221128822654465,0.9151948293759691,0.7566615537536613,0.721980775831011,0.4011701089407598,0.49239352190648455,0.3649301151226243,0.41106268956421155,0.9482517270530029,0.8682857839910197,0.9935095276542854,1.0685660240776762,0.2418769656910933,0.4699397510941725,0.25696633820140513,0.2226428629063364,0.6981804589045066,0.7542404175592351
Total September 2022,0.5474383262864461,0.6258468418272886,0.6749078075212601,0.49787725342267286,0.4103256308398141,0.6195198966465904,1.1091223441997584,1.039266080099303,0.775902992916638,0.7545251982258602,0.4482170977455229,0.5282810364532371,0.457790129713014,0.5021372644580189,0.8573584525649369,0.8502589881998638,1.0996745836100958,1.1822493583658178,0.2669428762162811,0.44944763910856067,0.22238087832647646,0.1687381102354124,0.463469998032241,0.4773650145597642
Total December 2022,0.6639341474919781,0.6200672930181256,0.8461749690313561,0.5266666441165496,0.16850099611544944,0.4601086526385192,1.322659200528133,1.2405673611382237,0.8454609428218792,0.8523871394508621,0.3807004125884259,1.0320278550780173,0.5767101082378101,0.6510228572817047,1.0936354929899792,1.0664965329497993,1.26411485605718,1.2226029209770042,0.27768338593580566,0.5226735949387911,0.2710568852822115,0.24600313059314893,0.3614834593933576,0.44482256607586035
Total 2022,4.999999999999999,5.000000000000001,5.0,5.0,5.0,4.999999999999999,5.0,4.999999999999999,5.0,5.0,5.0,5.0,5.0,5.0,5.000000000000001,5.0,5.0,5.0,5.0,5.0,4.999999999999999,4.999999999999999,5.0,4.999999999999999
Total March 2023,0.8935760199753512,0.87753095430964,1.0475698704842937,0.9033289599940658,0.18411213342551813,0.555183870343887,1.4902823754586862,1.3901206972904894,0.878520478608599,1.0343341337820018,1.0261836358266625,1.3014341893938621,0.644266757386583,0.7897069411477999,1.0853970957121477,1.1061529946608921,1.4481348462253403,1.3649517228279107,0.36283932776624095,0.7121233309014032,0.2952181678518748,0.2901804875553824,0.5772483999793272,0.6851053087223408
Total June 2023,0.6449233154041151,0.6848483584998898,0.9256226866961056,0.5549863014525599,0.2996345495200263,0.5402637002244527,1.6295226891042347,1.4758710420817698,0.7932013089734778,0.8948533641556146,0.6432834628847361,0.6102686286980472,0.7144514299629847,0.8392529537831639,1.1329511614206098,1.1461786802451033,1.3077106040668725,1.6215042974072522,0.10681427883705341,0.42029796668562813,0.2187804843566652,0.2339309996249943,0.37485335378782203,0.47170392537454087
Total 2023,2.3717716983975494,2.4239899185957765,2.7187820508726297,2.392312047358942,1.1288981634308732,1.5534064361752167,3.392189507718398,3.184404973874203,2.2578386515937465,2.5600938054753186,2.701772965440429,2.65340908955785,2.4695880987128893,2.643235769713285,2.6146629518032127,2.722733043876375,3.0276877942041325,3.2468976106738476,1.7030707302731083,2.0863923094516834,1.8333027017092445,1.884560660321256,1.943210165384211,2.0634421356984087
