Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
"November 1, 2020",0,0,19.54492,5062.708028,0.25,5.37,719.36,11976.23,106.31,7578.92,0,0,0,0,43.29,75.72,5.48,75.25,0,0,110.58,4451.27,19.3,513.86
"November 2, 2020",7.72716,441630.5059,206.02203,125966.5151,0.35,8.76,772.71,16403.19,130.14,12651.91,88.7,4329.53,85.66,6008.79,39.52,68.56,8.28,143.75,37.64,30560.2,124.71,5659.75,26.44,757.46
"November 3, 2020",6.41794,355283.6374,121.42494,93701.84766,0.33,7.87,765.2,15169.76,123.76,11428.34,110.29,5876.93,42.36,2914.02,39.21,70.37,7.94,122.85,31.35,27722.67,125.7,5667.5,24.69,697.3
"November 4, 2020",6.25696,306799.1974,121.57645,93364.09455,0.34,8.18,762.26,15271.56,122.85,11182.2,97.19,3016.81,29.58,3488.58,39.61,71.67,7.77,122.89,28.62,24202.92,124.04,5455.96,25.59,709.52
"November 5, 2020",6.07599,340653.4394,132.57373,99001.4623,0.33,7.96,726.68,13736.53,122.55,11031.72,71.82,3905.31,94.9,10834.2,41.32,73.94,8.2,130.33,29.66,24422.52,118.39,5233.8,24.1,672.49
"November 6, 2020",6.23207,410886.4575,137.35512,129518.8888,0.32,7.3,775.2,14875.48,120.62,10467.96,93.81,3702.93,23.14,2512.01,42.79,75.62,8.45,128.77,27.9,22778.66,120.88,5315.65,23.63,659.13
"November 7, 2020",5.2736,118637.6069,113.57985,67719.22985,0.32,7.03,780.74,14334.9,121.28,10130.79,84.95,5038.7,62.24,4735.85,45.39,77.77,7.86,114.46,26.04,21155.62,130.51,5841.9,22.28,629.39
"November 8, 2020",0,0,13.35645,3863.69518,0.26,5.16,772.49,11178.77,101.93,5940.04,0,0,0,0,43.09,76.44,6.27,74.07,0,0,118.56,4856.69,18.63,499.6
"November 9, 2020",7.14611,411694.3547,159.10394,98539.20432,0.35,8.1,748.79,14434.11,130.04,11757.3,90.07,3165.22,46.47,2756.87,40.62,70.38,8.76,145.75,31.68,24294.63,127.68,5679.52,26.8,759.86
"November 10, 2020",7.00933,409973.068,133.54451,108074.9977,0.37,8.31,837.68,15796.87,128.18,11399.98,125.52598,5869.330554,93.72206,11299.05383,42.19,73.7,8.65,133.72,34.18381,26251.0662,132.62,6002.44,26.39,758.29
