Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-11-2022 00:00,7.92257,522758.4077,256.7336,140210.64,0.35,13.98,2494.4,50700.08,175.38,20335.18,97.18,9425.33,28.99,3713.34,93.6,157.7,33.74,522.86,22.64,25889.48,118.17,5422.17,36.77,1061.92
02-11-2022 00:00,7.91665,495205.2573,179.42885,108159.4192,0.33,13.21,2500.21,47432.82,165.76,18481.43,56.16,4809.47,134.12,7550.86,93.13,153.39,32.23,513.96,23,24270.13,118.21,5355.03,35.29,1006.47
03-11-2022 00:00,7.78591,484400.8159,158.00358,101322.4993,0.32,12.3,2434.82,45208.17,162.32,17790.42,102.88,3954.28,65.24,4109.1,91.71,151.07,33.44,530.14,21.64,22787.05,113.41,5019.61,33.82,941.71
04-11-2022 00:00,7.94456,502872.5842,159.95197,122398.7849,0.32,12.16,2452.5,43645.17,160.85,17022.96,69.45,2462.27,27.03,4029.83,97.19,160.02,31.85,534.4,22,21664.52,111.58,4798.06,33.77,920.24
05-11-2022 00:00,6.50276,203024.0979,142.99044,77658.76139,0.32,11.99,2528.34,44653.94,158.93,16079.38,91.47,8781.06,158.46,16040.25,103.36,161.81,33.14,578.1,22.56,21152.15,118.68,5159.15,31.9,880
06-11-2022 00:00,0.65231,5771.576323,58.30624,11068.11887,0.29,10.3,2424.83,33841.13,140.84,10338.74,1.29,169.61,24.04,2185.83,103.21,160.1,28.05,342.74,h,h,109.27,4298.9,27.82,716.64
07-11-2022 00:00,9.17918,588780.2964,194.87481,119343.8532,0.36,12.81,2452.45,45347.9,164.33,18157.13,59.24,4162.25,83.68,6557.95,92.81,145.21,35.96,616.13,24.91,22791.24,116.88,5024.69,35.31,966.47
08-11-2022 00:00,3.86508,77495.49923,121.14705,52175.30408,0.36,12.91,2348.78,38528.36,153.46,14330.61,115.03,1887.64,34.46,2887.87,88.52,146.84,33.18,540.31,8.61,8499.71,104.98,4449.44,29.59,827.28
09-11-2022 00:00,9.76572,565378.8326,178.24329,108879.4809,0.39,14.25,2504.80652,43709.2586,162.95,16929.43,280.4,10730.05,21.67,2076.13,90.61,149.91,32.21,580.42,30.46,28052.82,119.58,5115.49,35.34,973.76
10-11-2022 00:00,8.70801,587525.5482,179.74445,123838.61,0.41,14.98,2544.65,44760.22,166.63,17034.15,140.04,14349.2,123.58,15410.03,90.99,151.69,36.41,736.4,29.05,27499.47,119.78,5147.34,37.63,977.54
