Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-10-2022 00:00,7.29699,303196.1263,257.42595,125533.5968,0.46,18.33,2586.47,50382.75,185.32,20445.68,105.98,7967.46,22.89,3260.17,103.8,166.56,30.43,477.65,21.29,24299.73,141.15247,6489.436171,38.79,1118.78
02-10-2022 00:00,0.67598,6633.092618,59.73946,12545.30032,0.42,15.96,2483.64,39039.52,156.6,13172.42,16.47,518.63,127.41,6233.68,99.51,154.81,26.2,337.95,h,h,126.7,5396.83,36.66,978.93
03-10-2022 00:00,8.1373,762550.6228,199.87262,125748.2414,0.48,17.74,2480.21,47218.26,177.31,19480.96,61.67,2629.33,57.05,3765.42,86.35,135.59,31.39,538.37,22.85,23070.7,129.82,5720.34,41.22,1153.88
04-10-2022 00:00,5.82719,506586.4385,154.99514,92322.39567,0.39,14.04,2396.9,42082.91,159.06,16711.27,43.94,3638.37,37.6,4219.16,85.21,134.42,29.31,487.64,17.97,18600.75,118.56,5011.52,33.49,917.5
05-10-2022 00:00,1.00288,17122.90596,79.23713,20807.60413,0.37,12.43,2272.01,34258.45,147.69,12491.73,75.05,759.29,147.29,14171.06,80.6,126.02,26.54,425.75,h,h,108.85,4262.52,31.99,781.76
06-10-2022 00:00,8.78665,660284.7924,177.05931,143978.9981,0.41,13.29,2331.47,41501.46,153.53,17249.13,68.79,2844.71,45.74,3942.66,85.29,127.37,36.02,629.61,32.02,30112.07,111.08,4827.32,31.01,836
07-10-2022 00:00,9.14021,630520.9317,228.96919,135627.3861,0.43,15.28,2329.71,41204.09,160.48,17747.72,89.63,3641.73,71.57,6489.99,90.17,138.03,34.02,588.5,27.85,26786.53,122,5346.84,36.35,1015.46
08-10-2022 00:00,2.09177,20446.6006,113.22422,35420.2479,0.46,16.72,2365.74,39710.25,152.12,14673.44,101.98,2802.51,30.82,2062.71,97.21,146.75,32.14,544.1,h,h,120.94,5272.31,36.58,1019.08
09-10-2022 00:00,0.60378,5112.672701,55.3679,12289.42806,0.39,12.61,2290.61,32190.94,136.78,10155.26,6.57,518.39,7.4,632.48,97.61,148.59,27.21,360.27,h,h,106.99,4230.01,29.04,746.54
10-10-2022 00:00,10.34586,608029.6976,207.72879,128015.451,0.47,15.95,2410.02,47027.29,169.16,18487.23,213.03,8529.24,122.05,14798.97,87.42,135.17,37.88,746.06,39.82,34785.26,122.31,5365.11,38.43,1051.76
11-10-2022 00:00,8.88773,487849.9789,170.32651,114341.8568,0.47,15.35,2434.91,43642.01,166.06,17399.6,140.45,4515.67,28.34,3250.29,85.3,140.49,35.21,678.78,33.35,31059.5,121.51,5279.18,38.87,1042.69
12-10-2022 00:00,8.38312,503353.5515,160.02242,106724.7308,0.43,14.74,2450.81,42412.68,164.32,16443.28,169.18,5196.18,18.76,2072.35,88.63,148.41,35.29,685.31,28.23,26510.45,122.15,5173.19,39.79,1018.72
13-10-2022 00:00,8.18909,442838.0157,154.09974,109523.243,0.47,15.82,2399.86,40387.93,161.4,16146.34,144.86,5744.33,14.48,1874.14,84.13,147.03,34.79,652.26,25.44,25595.7,115.74,4769.82,38.99,992.33
14-10-2022 00:00,8.38265,625796.6643,149.56909,108254.4488,0.46,16.05,2352.74,38748.95,153.47,15388.12,137.39,4305.07,15.01,2178.15,91.3,154.43,32.71,648.1,24.4,24905.09,107.06,4437.75,34.96,922.41
15-10-2022 00:00,7.00524,208517.7343,128.31037,70873.95028,0.48,16.49,2416.34,39499.74,155.21,14668.57,74.93,9633.49,86.41,7789.13,97.35,160.57,32.97,610.69,24.85,23485.31,117.21,4915.56,33.7,892.16
16-10-2022 00:00,0.68773,6162.679749,54.56126,10848.03545,0.46,14.43,2384.85,31327.83,141.73,9084.63,29.46,904.85,7.52,506.56,96.27,158.75,28.19,371.2,h,h,109.75,4184.05,28.29,717.15
17-10-2022 00:00,9.28741,566183.1553,163.00585,110481.718,0.63,19.72,2357.07,40125.1,162.8,16489.7,845.89,19906.5,18.72,1838.2,86.93,143.95,35.74,705.3,29.25,26293.98,112.58,4602.49,41.01,1057.21
18-10-2022 00:00,8.95457,523960.2039,203.38194,111931.116,0.71,20.05,2402.64,39917.14,157.02,15489.55,115.86,4263.26,14.99,2399.09,90.04,154.39,34.68,676.08,28.47,27711.54,114.56,4651.74,47.16,1152.56
19-10-2022 00:00,9.21965,486460.6947,204.32447,118427.3961,0.73,21.27,2458.66,40856.85,160.04,16221.96,132.06,6635.38,10.36,1757.06,92.44,157.6,33.26,639.54,27.83,27585.45,117,4828.31,44.61,1117.32
