Date for the Day,PAYMENT TRANSACTIONS,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,CASH WITHDRAWAL,Unnamed: 22,Unnamed: 23,Unnamed: 24
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
"September 1, 2020",5.09427,501536.62966769905,177.42611,107664,0.5800000000000001,9.52,651.97,13916.88,105.8,11202.5,101.35,4940.39,18.8,2818.57,34.71,62.35,6.77,123.44,24.09,21137.92,112.77,5053.66,27.38,716.99
"September 2, 2020",4.41475,305051.671891941,109.32014,91611.05032,0.5900000000000001,9.35,638.42,13151.17,99.58,9936.08,83.4,1834.9,66.98,3686.48,35.38,62.74,6.88,118.65,22.54,19719.09,114.51,5138.92,26.69,693.91
"September 3, 2020",5.21664,346040.802333269,101.54273,85520.639381314,0.6000000000000001,9.42,625.8,12827.3,97.5,9674.66,84,2275.33,41.12,2519.5,35.71,64.02,7.36,128.87,23.48,21008.88,109.81,4875.66,26.21,672.03
"September 4, 2020",5.24422,362471.638988123,107.01077,78163.13062996701,0.6000000000000001,9.09,621.85,12457.52,96.34,9454.77,53.66,1496.55,30.42,3489.12,36.86,65.08,6.93,117.86,23.89,19169.09,110.04,4752.13,25.89,650.58
"September 5, 2020",4.05464,117484.831023327,79.37312,54112.325052679,0.5,7.9,624.89,12215.88,93.69,8705.94,78.35,3134.7599999999998,94.28,10507.37,37.76,65.77,6.82,105.53,22.59,16621.22,111.28,4796.31,23.28,582.8
"September 6, 2020",h,h,10.03865,3376.366585863,0.36000000000000004,5.3100000000000005,567.97,8642.76,73.72,5258.82,h,h,h,h,35.46,64.09,5.86,77.1,h,h,90.49,3438.17,16.26,380.91
"September 7, 2020",5.39484,345392.39265170495,123.88269,95539.310851833,0.54,8.9,634.74,13010.41,102.45,9747.71,78.53,2418.52,71.18,5516.1,33.76,58.51,8.25,143.51,24.38,17466.95,109.95,4709.72,26.6,659.99
"September 8, 2020",5.46079,337556.666159509,114.03858,75912.781045915,0.65,9.78,662.23,12601.81,98.49,9174.53,155.51999999999998,2642.39,37.49,2667.02,35.27,62.56,8.65,142.4,25.94,19989.16,115.45,4962.76,28.37,709.41
"September 9, 2020",5.19718,331850.07966297405,108.28252,73881.374539627,0.5900000000000001,9.5,571.75,11563.73,99.12,9378.05,80.86,2428.34,19.69,1837.21,36.22,63.46,7.67,124.58,24.71,18850.38,113.04,4763.84,27.8,672.15
"September 10, 2020",5.1621,369509.46492066496,105.52207,93675.87732145,0.45999999999999996,7.960000000000001,646.68,12688.59,97.39,9062.37,74.6,1883.4299999999998,99.04,10456.1,36.2,65.47,8.51,143.77,25.64,18741.26,112.97,4753.31,26.41,630.58
"September 11, 2020",5.32182,345918.003659921,101.50487,83557.306629074,0.42000000000000004,7.41,624.04,11651.3,93.64,8415.24,73.27000000000001,3328.34,25.16,2295.51,36.95,66.18,8.49,144.57,23.33,17350.3,103.96,4326.09,24.32,587.92
"September 12, 2020",h,h,15.73814,6908.111974697,0.52,8.34,609.7,10366.6,89.39,7007.85,h,h,h,h,39.05,67.68,7.82,118.41,h,h,103.87,4230.16,24.84,597.33
"September 13, 2020",h,h,8.22108,3059.836831345,0.34,4.9399999999999995,474.74,6184.07,78.39,4565.94,h,h,h,h,36.73,64.93,6.15,83.41,h,h,86.97,3117.23,16.23,362.85
"September 14, 2020",7.12857,418991.054415238,105.94184,96404.509914693,0.52,8.76,631.44,12516.37,105.12,9221.01,121.19999999999999,4594.68,18.49,2497.25,35.12,59.45,10.18,180.53,34.94,24457.99,105.82,4342.6,27.18,653.78
"September 15, 2020",5.8234,421665.245435481,90.05055,87166.619131513,0.53,8.76,623.6,11916.68,102.22,8818.39,85.30000000000001,2959.49,73.15,6566.58,34.95,61.47,9.39,169.1,31.75,23106.03,106.66,4375.23,25.14,611.9
"September 16, 2020",5.35512,361101.32848992205,89.58969,71414.00782,0.53,8.74,628.73,11547.25,91.44,8276.72,127.49000000000001,2669.3700000000003,10.33,1148.42,35.8,63.35,9.62,165.68,27.08,20126.9,105.5,4203.8,25.61,605.27
"September 17, 2020",4.36548,435869.579037023,72.44774,68343.72863398399,0.53,8.43,402.75,7127.67,86.41,7634.38,60.54,1527.03,14.57,1576.77,35.79,65.18,7.29,132.62,21.12,16066.31,97.08,3683.39,22.01,515.51
"September 18, 2020",5.36596,391358.621189663,87.1769,80594.072377846,0.61,9.41,637.88,11307.57,90.09,7784.73,105.1,3765.04,13.27,1516.35,37.5,65.76,9.45,161.18,23.74,18790.29,101.23,3986.4,25.55,597.3
"September 19, 2020",4.23745,104893.171613363,57.535,46868.9,0.55,8.74,614.3,10245.52,88.28,7319.18,91.62,2311.04,36.38,1284.49,39.01,65.77,8.18,130.18,20.45,15787.82,101.41,4023.72,24.54,554.83
"September 20, 2020",h,h,9.08798,2903.5588546,0.48000000000000004,6.61,454.37,5724.58,73.79,4576.15,h,h,h,h,38.02,67.35,6.02,78.04,h,h,89.69,3138.25,17.84,381.52
"September 21, 2020",5.61274,413644.64424986404,81.87284,77983.67055372901,0.67,10,636.98,11767.97,96.92,8804.35,80.11,1590.08,34.92,3965.62,36.14,61.63,9.54,167.07,25.49,19466.18,99.26,3907.87,26.62,606.08
"September 22, 2020",5.50098,396026.285697052,80.76635,75697.37932691601,0.62,9.35,622.35,11255.24,93.6,8471.09,43.91,2870.2,24.14,1792.75,35.8,63.49,9.31,151.45,26,20927.95,95.69,3744.94,24.49,554.98
"September 23, 2020",5.16403,387461.563789277,72.82705,83977.425844973,0.55,8.6,607.23,10715.09,92.84,8271.95,72.58,2669.3500000000004,7.33,1144.07,37.73,66.32,8.26,135.84,23.18,18996.41,94.15,3648.09,22.54,509.8
"September 24, 2020",5.23753,387661.68595511396,76.90416,84676.822774317,0.53,8.51,601.18,10459.95,95.23,8153.98,64.9,2557.8599999999997,15.33,1590.33,37.13,66.27,8.52,157.31,23.55,20010.29,93.96,3620.49,22.11,498.72
"September 25, 2020",5.74561,436131.949985775,80.40415,104738.902452828,0.6,9.13,604.82,10540.49,89.54,8193.48,132.58,4719.339999999999,22.73,2433.78,36.33,65.82,7.31,140.71,24.3,21714.63,92.96,3595.76,22.63,513.84
"September 26, 2020",h,h,15.56588,7228.258060053,0.5700000000000001,8.76,501.38,7561.24,85.03,6861.94,h,h,h,h,38.96,66.56,5.93,96.71,h,h,97.83,3760.84,22.71,515.02
"September 27, 2020",h,h,8.74647,2602.933518715,0.41000000000000003,5.77,592.81,7868.89,73.98,4494.32,h,h,h,h,38.41,67.4,5.12,70.05,h,h,84.81,2878.27,16.47,351.67
"September 28, 2020",7.39405,516324.809528941,103.68983,115189.797325701,0.56,9.08,631.77,11503.91,96.98,9205.65,138.49,3210.06,67.55,3698.31,37.16,64.83,7.47,149.2,34.63,27842.78,97.14,3848.13,25.13,585.66
"September 29, 2020",6.26027,577598.055191693,100.27165,122193.07219276101,0.5900000000000001,9.39,599.96,11212.75,98.01,9422.63,84.66,4115.88,5.99,1304.25,37.71,67.17,6.8,125.25,29.51,25350.79,97.3,3915.17,23.47,555.6
"September 30, 2020",6.35259,877525.57101912,173.4922,184548.96020499198,0.63,10.27,655.34,14482.65,111.1,11567.34,167.72,8534.4,9.07,1646.53,39.23,69.95,7.31,137.79,26.3,22415.83,110.16,4742.51,23.34,567
"Total Sep, 2020",130.10503000000003,9489065.74655666,2468.2717500000003,2165514.730151384,16.230000000000004,255.72999999999996,18001.669999999995,329031.83999999997,2796.080000000001,248661.75000000006,2239.74,74476.76999999999,857.4100000000001,77958.48,1100.85,1940.6100000000001,231.86000000000004,3920.8099999999995,612.6299999999999,485114.44999999995,3065.7600000000007,124333.41999999998,717.6600000000001,17095.929999999997
