Date,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
01-09-2021 00:00,7.27279,457615.5962,265.91567,118580.8429,0.62,18.44,1261.06,27148.4,142.31,13785.59,73.06,4585.47,19.7,2984.7,64.51,101.33,19.41,330.74,26.72,26159.49,120.28,5421.79,32.5,918.71
02-09-2021 00:00,6.95451,456484.9277,154.96004,102119.7101,0.58,16,1276.66,26154.15,145.68,13600.34,178.48,8184.89,83.97,4992.44,63.74,99.75,19.45,344.64,24.25,24180.92,117.3,5247.4,31.71,879.37
03-09-2021 00:00,6.76259,433005.709,136.12146,88679.54738,0.59,15.39,1245,23910.41,138.05,12442.5,67.13,5017.39,44.68,3060.22,64.35,101.52,18.23,327.12,24.61,24421.17,113.33,4931.95,32.64,870.31
04-09-2021 00:00,5.51713,130593.1429,109.57462,56153.88384,0.55,14.08,1237.38,23834.31,133.08,11888.4,17.99,1893.36,21.93,3043.52,68.06,104.09,17.75,321.76,24.09,21699.35,115.61,5052.28,31.15,809.51
05-09-2021 00:00,0.38628,3020.464927,29.38401,6389.292278,0.46,10.74,1088.95,16861.66,118.18,8116.53,1.57,371.84,67.01,8194.89,65.53,101.79,15.57,242.27,h,h,106.4,4188.08,25.29,609.08
06-09-2021 00:00,7.28346,475959.2543,138.63766,109031.5437,0.57,14.11,1221.17,24922.42,136.85,12590.17,78.77,2275.75,49.62,4511.59,61.27,92.83,21.75,419.6,27.56,22212.89,112.32,4798.48,32.85,851.88
07-09-2021 00:00,6.96566,450380.2501,180.18164,92137.3581,0.59,14.61,1139.79,21864.83,141.79,12627.87,122.98,3301.34,62.24,5113.55,61.1,95.03,20.4,391.41,26.98,24960.14,117.95,5067.76,32.76,860.11
08-09-2021 00:00,6.95751,367454.7911,146.56398,83737.29027,0.6,14.27,1264.05,24634.77,138.87,12076.84,118.77,2285.12,33.52,2426.09,65.53,100.02,21.46,412.73,24.43,21673.79,131.61,5652.27,33.21,865.92
09-09-2021 00:00,7.61928,525471.3977,153.00598,114507.2984,0.67,15.72,1284.19,24770.65,138.49,12151.4,89.56,2567.34,24.99,1919.04,69.17,105.12,20.53,415.03,25.29,22838.72,129.87,5448.09,34.95,902.33
10-09-2021 00:00,3.70097,76724.03174,91.07271,47411.22212,0.63,15.03,1209.37,21030.37,127.72,9711.99,20.3,2388.64,70.75,10312.66,63.41,101.8,19.33,400.74,11.34,9992.81,116.02,4720.2,30.25,791.62
