,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
Total June 2020,119.67608,8651977.724,2274.01512,1906586.124,15.5455,232.8883784,13369.34707,261835.5156,1989.11479,206950.8285,2708.4,124105.4356,788.96,70491.49,819.24178,1511.919018,176.42281,2969.675569,496.3786,401440.5629,2903.73604,118665.2221,990.73718,19749.00024
Total September 2020,130.10503,9489065.747,2468.27175,2165514.73,16.23,255.73,18001.67,329031.84,2796.08,248661.75,2239.74,74476.77,857.41,77958.48,1100.85,1940.61,231.86,3920.81,612.63,485114.45,3065.76,124333.42,717.66,17095.93
Total November 2020,137.79836,7987655.453,2734.09683,2218252.488,10.33159,234.6726891,22102.28636,390999.1659,3391.16134,276459.0861,2044.83251,99942.74995,871.85878,79222.08755,1248.82594,2102.003124,239.29995,3713.200889,596.34569,494300.4172,3415.19702,143423.48,684.77459,18820.40801
Total April 2021,151.5206,8802867.761,2862.70923,2046234.558,14.82,438.27,26410.61,493663.68,3229.68,299542.34,2002.29,106840.63,854.08,78676.47,1643.25,2776.9,351.36,5201.93,557.79,553322.48,3082.4,131346.44,725.35,21700.76
Total June 2021,154.13551,10196989.44,2923.26941,2097771.138,18.72,480.33,28075.16,547373.16,3038.45,284110.79,2646.46,100408.87,878.72657,86214.75002,1578.64,2576.26,454.71,7934.72,511.38,477429.95,2799.55,118259.3,856.89,24186.7
Total September 2021,174.5694,11069631.02,3359.54056,2419688.184,20.37,497.67,36558.17,654648.28,3848.83571,324095.9656,1953.19,97479.58,878.31,84068.43,1936.13,3009.29,595.51,12027.02,624.1,566467.76,3196.98,129299.56,888.88,22793.31
Total December 2021,192.78397,12966990.8,3763.37883,2724980.108,20.24,647.49,45662.99,826848.23,4429.86,396411.43,2565.91,128119.23,937.92,90425.67,2420.73,3679.41,621.43,10338.4,660.33,640955.17,3409.91,140609.64,940.2,25208.11
Total March 2022,230.03813,14458955.04,4314.2007,3492578.209,20.03,675.06,54056.51,960581.67,4920.01,462278.81,3226.54,146992.73,979.27,97801.22,2704.09,4095.27,713.25,11467.44,702.93,694335.27,3418.5,142709.02,1032.68,28479.1
Total June 2022,194.41531,12356053.53,4022.3285,2716012.884,40.44,1085.7,58629.08,1014412.62,4557.01,443776.04,2712.23,123919.36,1048.14,99060.07,2779.42,4302.68,821.2,15153.96,593.72,599195.92,3344.83,137612.9,1167.16,31318.27
Total September 2022,198.30016,13789637.12,4332.45421,2922912.815,16.90263,547.9362898,67807.99775,1116438.09,4622.31,454451.31,2801.24597,127522.9242,1114.09087,105389.6916,2591.53,4244.74,890.1,16450.23,603.80757,590572.6339,3271.44,132927.14,1004.99433,26097.36692
Total December 2022,215.0315,13736057.18,4854.81151,2981681.168,13.03,466.87,78288.95,1281970.86,4858.37,486552.13,2673.5,178105.53,1198.55,115737.14,3079.95,4939.75,996.82,16910.36,608.13,621386.85,3374.73,139643.53,934.53,25483.73
Total March 2023,248.01308,16122902.24,5469.05709,3750569.408,13.28,515.2191312,86516.33764,1404950.594,4970.56471,546234.6546,3894.79634,205157.3622,1246.52996,125375.5904,3062.92,5067.21,1116.24703,18533.48693,642.40031,701109.1976,3426.0,143483.72,1083.60587,30014.62331
Total June 2023,212.30113,14336617.14,5097.12355,3039490.645,15.13,507.6316938,93350.61957,1475464.264,4681.01559,500481.9644,3170.32425,135755.5242,1296.37639,128819.0049,3161.22137,5195.856724,1025.11318,21458.81814,539.36513,578306.1596,3263.8,138594.14,943.7675,25990.61855
