,RBI_Operated_RTGS_Vol,RBI_Operated_RTGS_Val,RBI_Operated_NEFT_Vol,RBI_Operated_NEFT_Val,NPCI_Operated_AePS_Vol,NPCI_Operated_AePS_Val,NPCI_Operated_UPI_Vol,NPCI_Operated_UPI_Val,NPCI_Operated_IMPS_Vol,NPCI_Operated_IMPS_Val,NPCI_Operated_NACH_Credit_Vol,NPCI_Operated_NACH_Credit_Val,NPCI_Operated_NACH_Debit_Vol,NPCI_Operated_NACH_Debit_Val,NPCI_Operated_NETC_Vol,NPCI_Operated_NETC_Val,NPCI_Operated_BBPS_Vol,NPCI_Operated_BBPS_Val,NPCI_Operated_CTS_Vol,NPCI_Operated_CTS_Val,NPCI_Operated_NFS_through_ATMs_Vol,NPCI_Operated_NFS_through_ATMs_Val,NPCI_Operated_AePS_through_micro-ATMs_BCs_Vol,NPCI_Operated_AePS_through_micro-ATMs_BCs_Val
Total January 2022,181.29052,10449109.5,3629.02969,2442685.818,25.02,756.89,46171.56,831993.09,4401.73,387006.75,3164.43,144912.77,934.07,90702.74,2310.12,3603.71,627.08,10082.77,596.99,557721.29,3208.02,131478.3,1125.54,28581.56
Total February 2022,180.28552,10324617.82,3632.57994,2477058.565,15.74,533.98,45274.89,826843.02,4209.31,384404.04,2188.23,118150.33,948.2,90056.03,2436.36,3631.19,624.52,9974.34,581.98,615320.85,3035.75,127799.85,928.46,24974.57
Total March 2022,230.03813,14458955.04,4314.2007,3492578.209,20.03,675.06,54056.51,960581.67,4920.01,462278.81,3226.54,146992.73,979.27,97801.22,2704.09,4095.27,713.25,11467.44,702.93,694335.27,3418.5,142709.02,1032.68,28479.1
Total April 2022,195.3243,11097594.49,3737.59155,2498586.903,17.31,612.37,55843.88,983573.45,4716.26,444669.9,2449.29,123471.95,996.72,92902.11,2653.94,4218.36,741.15874,11324.05815,624.01,670259.32,3357.83,143025.98,984.19,27823.8
Total May 2022,195.72062,11183946.97,3813.34486,2546927.612,18.39,607.38,59462.89,1040220.53,4848.13,452328.12,4062.56,138352.89,1018.05,94751.72,2853.66,4369.35,820.74,13824.1,590.44,594561.62,3429.36,142754.48,1073.66,29827.78
Total June 2022,194.41531,12356053.53,4022.3285,2716012.884,40.44,1085.7,58629.08,1014412.62,4557.01,443776.04,2712.23,123919.36,1048.14,99060.07,2779.42,4302.68,821.2,15153.96,593.72,599195.92,3344.83,137612.9,1167.16,31318.27
Total July 2022,189.2627,11551439.68,4018.39279,2627353.957,21.94,660.03,62893.4,1063117.04,4608.3,444540.95,3152.87,132187.69,1067.05,99753.52,2651.52,4162.45,858.42,16217.54,588.66968,579726.51,3356.99,137429.91,1082.22,29517.48
Total August 2022,188.0802,11665582.71,4166.75667,2631639.006,18.11,545.76,65819.06,1073162.17,4669.09,445988.99,3102.5,138142.56,1097.38,102099.67,2719.65,4245.14,874.61,16085.31,575.81,548384.5,3372.39,135534.01,1021.48,26192.93
Total September 2022,198.30016,13789637.12,4332.45421,2922912.815,16.90263,547.9362898,67807.99775,1116438.09,4622.31,454451.31,2801.24597,127522.9242,1114.09087,105389.6916,2591.53,4244.74,890.1,16450.23,603.80757,590572.6339,3271.44,132927.14,1004.99433,26097.36692
Total October 2022,190.3365,11551276.86,4570.47514,2726827.104,20.55,634.45,73054.21,1211587.5,4824.59,466081.77,3298.71,152580.25,1139.92,106131.34,2829.86,4451.89,940.36,16470.31,561.89,550934.65,3608.99247,149199.7362,1156.16,30462.95
Total November 2022,206.45798,12291749.49,4388.30132,2730878.35,15.03,504.2,73094.4703,1190593.393,4634.8,454678.67,2439.5,151360.45,1164.17,109478.54,2856.39,4645.56,947,16534.53,586.94,581119.63,3221.91,132476.39,944.92,25540.74
Total December 2022,215.0315,13736057.18,4854.81151,2981681.168,13.03,466.87,78288.95,1281970.86,4858.37,486552.13,2673.5,178105.53,1198.55,115737.14,3079.95,4939.75,996.82,16910.36,608.13,621386.85,3374.73,139643.53,934.53,25483.73
