SL No,KLEMS Industry Description,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997--98,1998--99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
1,"Agriculture,Hunting,Forestry and Fishing",48615,54796,59079,70503,76027,81477,87451,97284,120145,132780,154953,181017,203009,235483,271162,294848,354521,376207,432065,457081,462407,500567,486974,546794,567635,639988,715179,820532,925878,1066008,1299884,1501947,1675107,1926372,2093612,2227533,2518662,2829826,3016277
2,Mining and Quarrying ,2574,4589,5663,6345,7138,7633,8900,9321,12188,13450,15234,16696,19254,22395,25259,28165,30876,37245,39764,46009,50577,52989,69449,70704,93759,110533,128999,149211,163962,193263,251303,261035,285842,295794,308476,294011,326808,336109,377171
3,"Food Products,Beverages and Tobacco",2263,2675,2928,4281,4310,4676,5369,5923,7835,9562,10278,11608,12716,15865,20601,21581,23801,29687,34892,36919,39180,39404,47180,52232,57333,68568,93347,89952,109418,122268,149833,167610,168306,175758,185981,213930,259790,278207,330685
4,"Textiles, Textile Products, Leather and Footwear",4929,4921,5091,6061,6849,7499,8088,8703,9666,12994,15391,16280,17889,24528,29196,30363,36203,38137,37487,39802,45101,43666,47101,49997,57805,70349,88779,83052,99417,124256,155888,153344,188107,246585,249723,300518,303318,332631,360847
5,Wood and Products of wood,1740,2021,1984,2356,2114,2397,2337,2495,2407,2563,2649,2551,4743,5925,6519,8305,9660,10847,14392,11906,11585,9766,8431,8438,7396,9671,11278,10909,12714,15637,17855,21722,23628,21837,30710,35309,38866,38479,46707
6,"Pulp, Paper,Paper products,Printing and Publishing",768,897,885,1108,1451,1466,1822,1869,2202,3063,3494,4306,4056,5047,5927,7695,7841,6689,7246,8117,8278,8965,9682,11156,12420,15110,17937,19640,24844,27813,38309,38534,36827,38560,46906,54225,57810,67579,72735
7,"Coke, Refined Petroleum Products and Nuclear fuel",616,731,1197,1397,1732,2024,2692,3529,3733,4438,5476,5953,7018,8534,9794,12046,16467,14939,14797,14645,21833,26478,36057,41964,49377,60598,74845,91143,97841,93931,113798,78540,148725,168911,226361,196740,180272,202126,154351
8,Chemicals and  Chemical Products ,1633,2093,2234,2875,3103,3443,3709,4373,5292,6465,7557,8830,11849,13754,16698,22974,26432,26419,33384,35914,41344,44840,48029,52818,62420,72378,82950,92106,114342,128912,149943,203579,204225,219083,237019,325284,352815,376390,414670
9,Rubber and Plastic Products ,787,854,1236,1306,1460,1528,2513,2913,3828,3806,5094,5463,6353,7226,7575,9482,13790,13029,13415,13764,21250,23800,17983,17487,19104,17102,19892,26616,39445,48856,63785,45309,44264,61124,64792,80461,91908,91424,103352
10,Other Non-Metallic Mineral Products ,1039,1257,1805,2189,2812,3102,3007,3436,3901,5046,6258,7659,7134,7703,9501,13470,18153,15270,14264,19183,20194,22093,23218,24842,26886,30336,43202,55111,64048,74758,77660,95723,103895,97490,113139,121641,147337,163532,178740
