Month-Year,Month,Year,No.Of.Banks.Using.Upi,Volume.Of.Transaction.in.Mn,Amount.Of.Transaction,Amount.Of.Transaction.In.Bn
Feb-20,Feb,2020,146,1323.28,"2,21,995.42",2219.9542
Jan-20,Jan,2020,144,1305.02,"2,16,242.97",2162.4297
Dec-19,Dec,2019,143,1308.4,"2,02,520.76",2025.2076
Nov-19,Nov,2019,143,1218.77,"1,89,229.09",1892.2909
Oct-19,Oct,2019,141,1148.36,"1,91,359.94",1913.5994
Sept-19,Sept,2019,141,955.02,"1,61,456.56",1614.5656
Aug-19,Aug,2019,141,918.35,"1,54,504.89",1545.0489
July-19,July,2019,143,822.29,"1,46,386.64",1463.8664
June-19,June,2019,142,754.54,"1,46,566.35",1465.6635
May-19,May,2019,143,733.54,"1,52,449.29",1524.4929
Apr-19,Apr,2019,144,781.79,"1,42,034.39",1420.3439
Mar-19,Mar,2019,142,799.54,"1,33,460.72",1334.6072
Feb-19,Feb,2019,139,674.19,"1,06,737.12",1067.3712
Jan-19,Jan,2019,134,672.75,"1,09,932.43",1099.3243
Dec-18,Dec,2018,129,620.17,"1,02,594.82",1025.9482
Nov-18,Nov,2018,128,524.94,"82,232.21",822.3221
Oct-18,Oct,2018,128,482.36,"74,978.27",749.7827
Sep-18,Sept,2018,122,405.87,"59,835.36",598.3536
Aug-18,Aug,2018,114,312.02,"54,212.26",542.1226
July-18,July,2018,114,273.75,"51,843.14",518.4314
June-18,June,2018,110,246.37,"40,834.03",408.3403
May-18,May,2018,101,189.48,"33,288.51",332.8851
Apr-18,Apr,2018,97,190.08,"27,021.85",270.2185
Mar-18,Mar,2018,91,178.05,"24,172.60",241.726
Feb-18,Feb,2018,86,171.4,"19,126.20",191.262
Jan-18,Jan,2018,71,151.833,"15,571.20",155.712
Dec-17,Dec,2017,67,145.463,"13,144.30",131.443
Nov-17,Nov,2017,61,104.841,"9,640.60",96.406
Oct-17,Oct,2017,60,76.772,"7,057.80",70.578
Sep-17,Sept,2017,57,30.778,"5,293.40",52.934
Aug-17,Aug,2017,55,16.608,"4,127.20",41.272
July-17,July,2017,53,11.444,"3,381.20",33.812
June-17,June,2017,52,10.155,"3,067.10",30.671
May-17,May,2017,49,9.168,"2,765.40",27.654
Apr-17,Apr,2017,48,7.005,"2,240.80",22.408
Mar-17,Mar,2017,44,6.161,"2,391.40",23.914
Feb-17,Feb,2017,44,4.156,"1,902.10",19.021
Jan-17,Jan,2017,36,4.153,"1,658.80",16.588
Dec-16,Dec,2016,35,1.967,706.20,7.062
Nov-16,Nov,2016,30,0.285,100.50,1.005
Oct-16,Oct,2016,26,0.103,48.60,0.486
Sep-16,Sept,2016,25,0.085,32.60,0.326
Aug-16,Aug,2016,21,0.093,3.10,0.031
