,Application_Name,Total_Volume_Mn,Total_Value_Cr
0,Airtel Payments Bank Apps,14.7,11172.43
1,Allahabad Bank App,0.02,5.21
2,Amazon Pay,49.12,4272.47
3,AU Small Finance Bank App,0.04,20.23
4,Axis Bank Apps,80.52,747.46
5,Bajaj Finserv,0.01,0.96
6,Bank of Baroda Apps,0.56,238.5
7,Bank of India App,0.01,2.11
8,Bank of Maharashtra App,0.02,6.05
9,BHIM,22.26,6886.78
10,Canara Bank App,0.09,43.87
11,Central Bank of India App,0.11,41.58
12,Citi Bank App,0.08,68.17
13,Cointab,0.11,40.84
14,Cred,5.08,5419.88
15,DBS Digibank App,0.54,164.93
16,Dena Bank App,0.02,22.37
17,Deutsche Bank App,0.43,43.58
18,Federal Bank App,0.19,39.57
19,Fino Payments bank App,0.01,1.18
20,Google Pay,905.96,190106.71
21,HDFC Bank Apps,1.42,243.86
22,HSBC Bank App,0.07,40.03
23,ICICI Bank Apps,14.37,3827.95
24,IDBI Bank App,0.02,9.59
25,IDFC Bank App,0.15,65.23
26,India Post Payments Bank App,1.32,174.08
27,Indian Bank App,0.06,24.13
28,IndusInd Bank App,4.2,654.49
29,Jio Payments Bank App,0.57,35.43
30,Karnataka Bank App,0.12,21.13
31,Karur Vysya Bank App,0.03,13.08
32,Kotak Mahindra Bank Apps,2.13,381.37
33,MakeMy Trip,0.08,26.08
34,MI Pay,0.38,58.08
35,Mobikwik,2.09,254.32
36,Paytm Payments Bank App,372.7,41469.53
37,PhonePe,1189.89,234023.33
38,Punjab National Bank App,0.12,63.07
39,RBL Bank App,0.13,58.08
40,Samsung Pay,1.62,312.93
41,South Indian Bank App,0.07,23.53
42,Standard Chartered Bank App,0.06,33.32
43,State Bank of India Apps,4.14,2359.08
44,UCO Bank App,0.07,16.17
45,Ultracash,1.49,178.72
46,Union Bank Apps,0.34,135.79
47,WhatsApp,0.54,47.62
48,Yes Bank Apps,22.81,5120.17
49,YuvaPay,1.59,51.22
50,Other Apps,0.03,13.88
0,Airtel Payments Bank Apps,9.31,2941.88
1,Allahabad Bank App,0.01,4.44
2,Amazon Pay,60.67,5297.16
3,AU Small Finance Bank App,0.1,38.53
4,Axis Bank Apps,87.49,959.73
5,Bajaj Finserv,0.04,2.85
6,Bank of Baroda Apps,0.75,302.06
7,Bank of India App,0.03,10.31
8,Bank of Maharashtra App,0.04,7.76
9,BHIM,26.33,8063.93
10,Canara Bank App,0.14,56.23
11,Central Bank of India App,0.13,47.83
12,Citi Bank App,0.09,72.04
13,City Union Bank App,0.01,2.73
14,Cointab,0.28,63.77
15,Cred,7.5,9040.43
16,DBS Digibank App,0.57,187.52
17,Dena Bank App,0.02,23.12
18,Deutsche Bank App,0.73,81.74
19,Federal Bank App,0.35,74.71
20,Fino Payments bank App,0.02,1.38
21,Google Pay,1243.75,244453.05
22,HDFC Bank Apps,3.1,676.72
23,HSBC Bank App,0.07,39.24
24,ICICI Bank Apps,19.81,5621.27
25,IDBI Bank App,0.03,11.26
26,IDFC Bank App,0.4,155.19
27,India Post Payments Bank App,2,255.16
28,Indian Bank App,0.08,34.46
29,IndusInd Bank App,0.52,570.21
30,Janta Sahakari Bank App,0.01,4.8
31,Jio Payments Bank App,1.06,68.16
32,Jupiter Money,0.07,17.36
33,Karnataka Bank App,0.12,15.38
34,Karur Vysya Bank App,0.03,15.25
35,Kotak Mahindra Bank Apps,3.98,723.21
36,MakeMy Trip,0.08,25.28
37,MI Pay,0.34,50.26
38,Mobikwik,2.59,418.04
39,NSDL Payments Bank App,0.01,0.85
40,Paytm Payments Bank App,498.65,56319.62
41,PhonePe,1622.95,301644.8
42,Punjab National Bank App,0.04,15.28
43,Punjab Sindh Bank App,0.01,2.53
44,RBL Bank App,0.16,70.24
45,RealMe,0.01,0.41
46,Samsung Pay,2.25,372.08
47,South Indian Bank App,0.09,31.69
48,Standard Chartered Bank App,0.08,45.31
49,State Bank of India Apps,3.69,1905.52
50,UCO Bank App,0.09,21.64
51,Ultracash,1.66,161.92
