Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,14.7,11172.43
Allahabad Bank App,0.02,5.21
Amazon Pay,49.12,4272.47
AU Small Finance Bank App,0.04,20.23
Axis Bank Apps,80.52,747.46
Bajaj Finserv,0.01,0.96
Bank of Baroda Apps,0.56,238.5
Bank of India App,0.01,2.11
Bank of Maharashtra App,0.02,6.05
BHIM,22.26,6886.78
Canara Bank App,0.09,43.87
Central Bank of India App,0.11,41.58
Citi Bank App,0.08,68.17
Cointab,0.11,40.84
Cred,5.08,5419.88
DBS Digibank App,0.54,164.93
Dena Bank App,0.02,22.37
Deutsche Bank App,0.43,43.58
Federal Bank App,0.19,39.57
Fino Payments bank App,0.01,1.18
Google Pay,905.96,190106.71
HDFC Bank Apps,1.42,243.86
HSBC Bank App,0.07,40.03
ICICI Bank Apps,14.37,3827.95
IDBI Bank App,0.02,9.59
IDFC Bank App,0.15,65.23
India Post Payments Bank App,1.32,174.08
Indian Bank App,0.06,24.13
IndusInd Bank App,4.2,654.49
Jio Payments Bank App,0.57,35.43
Karnataka Bank App,0.12,21.13
Karur Vysya Bank App,0.03,13.08
Kotak Mahindra Bank Apps,2.13,381.37
MakeMy Trip,0.08,26.08
MI Pay,0.38,58.08
Mobikwik,2.09,254.32
Paytm Payments Bank App,372.7,41469.53
PhonePe,1189.89,234023.33
Punjab National Bank App,0.12,63.07
RBL Bank App,0.13,58.08
Samsung Pay,1.62,312.93
South Indian Bank App,0.07,23.53
Standard Chartered Bank App,0.06,33.32
State Bank of India Apps,4.14,2359.08
UCO Bank App,0.07,16.17
Ultracash,1.49,178.72
Union Bank Apps,0.34,135.79
WhatsApp,0.54,47.62
Yes Bank Apps,22.81,5120.17
YuvaPay,1.59,51.22
Other Apps,0.03,13.88
Total April 2021,2702.49,509080.17
