Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,15.12,5732.09
Allahabad Bank App,0.02,7.43
Amazon Pay,76.18,6641.62
AU Small Finance Bank App,0.21,76.22
Axis Bank Apps,59.85,957.37
Bajaj Finserv,0.13,7.08
Bank of Baroda Apps,0.75,333.91
Bank of India App,0.04,17.26
Bank of Maharashtra App,0.05,11.52
BHIM,27.12,8831.67
Canara Bank App,0.25,90.72
Central Bank of India App,0.13,46.47
Citi Bank App,0.09,76.94
City Union Bank App,0.01,4.61
Cointab,0.94,144.16
Cred,10.36,13817.16
DBS Digibank App,0.55,190.75
Dena Bank App,0.02,26.08
Deutsche Bank App,0.85,86.20
Dhanlaxmi Bank App,0.01,3.07
Federal Bank App,0.48,99.96
Fino Payments bank App,0.03,2.09
Finshell Pay,0.06,2.92
Google Pay,1587.43,302989.79
HDFC Bank Apps,4.96,1250.74
HSBC Bank App,0.09,53.73
ICICI Bank Apps,31.99,8921.76
IDBI Bank App,0.02,11.34
IDFC Bank App,0.90,278.53
India Post Payments Bank App,2.76,321.16
Indian Bank App,0.12,42.71
IndusInd Bank App,1.19,1269.16
Jammu and Kashmir Bank App,0.01,1.93
Janta Sahakari Bank App,0.01,4.48
Jio Payments Bank App,1.65,100.19
Jupiter Money,0.98,177.92
Karnataka Bank App,0.25,30.03
Karur Vysya Bank App,0.04,17.44
Kotak Mahindra Bank Apps,6.39,1168.93
MakeMy Trip,0.07,22.30
MI Pay,0.31,43.97
Mobikwik,4.24,985.86
NSDL Payments Bank App,0.01,1.31
Paytm Payments Bank App,706.37,88094.49
PhonePe,2077.60,394565.58
Punjab National Bank App,0.07,33.76
RBL Bank App,0.35,102.17
Samsung Pay,3.21,436.30
South Indian Bank App,0.13,39.92
Standard Chartered Bank App,0.10,60.26
State Bank of India Apps,3.63,1961.72
UCO Bank App,0.14,33.49
Ultracash,1.96,178.99
Union Bank Apps,0.36,167.60
WhatsApp,2.25,188.78
Yes Bank Apps,25.14,5689.75
YuvaPay,0.05,78.43
Others,0.02,8.74
