Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,7.58,2210.17
Allahabad Bank App,0.02,6.28
Amazon Pay,63.49,6044.47
AU Small Finance Bank App,0.25,89.36
Axis Bank Apps,54.78,1405.26
Bajaj Finserv,0.33,19.32
Bank of Baroda Apps,0.67,330.69
Bank of India App,0.05,21.28
Bank of Maharashtra App,0.05,12.49
BHIM,23.25,7891.86
Canara Bank App,0.26,95.78
Central Bank of India App,0.12,45.26
Citi Bank App,0.08,69.22
City Union Bank App,0.02,5.49
Cointab,1.73,280.57
Cred,10.08,13364.09
DBS Digibank App,0.46,173.63
Dena Bank App,0.02,23.93
Deutsche Bank App,0.87,70.43
Dhanlaxmi Bank App,0.01,2.83
Federal Bank App,0.55,108.21
Fino Payments bank App,0.03,3.25
Finshell Pay,0.06,3.8
Google Pay,1524.09,291273.46
HDFC Bank Apps,4.59,1370.03
HSBC Bank App,0.08,52.97
ICICI Bank Apps,30.66,8727.44
IDBI Bank App,0.02,14.6
IDFC Bank App,1.21,321.93
India Post Payments Bank App,2.21,268.9
Indian Bank App,0.11,42.07
IndusInd Bank App,0.77,1358.24
Jammu and Kashmir Bank App,0.01,3.43
Janta Sahakari Bank App,0.01,4.33
Jio Payments Bank App,1.97,111.85
Jupiter Money,1.13,140.79
Karnataka Bank App,0.25,31.35
Karur Vysya Bank App,0.04,17.17
Kotak Mahindra Bank Apps,6.91,1383.3
MakeMy Trip,0.08,33.03
MI Pay,0.25,38.46
Mobikwik,3.78,755.89
NSDL Payments Bank App,0.02,1.77
Paytm Payments Bank App,706.77,86299.22
PhonePe,2120.2,407640.11
Punjab National Bank App,0.08,43.49
Punjab Sindh Bank Apps,0.01,2.66
RBL Bank App,0.51,107.25
Samsung Pay,3.14,421.97
South Indian Bank App,0.12,38.69
Standard Chartered Bank App,0.12,64.7
State Bank of India Apps,3.38,1863.42
UCO Bank App,0.16,35.05
Ultracash,1.51,158.7
Union Bank Apps,0.35,166.72
Utkarsh Small Finance Bank,0.01,2.42
WhatsApp,2.24,207.09
Yes Bank Apps,32.17,6551.61
YuvaPay,0.05,89.7
Others,0.02,8.15
