Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,13.22,4729.77
Allahabad Bank App,0.02,7.36
Amazon Pay,73.50,6729.66
AU Small Finance Bank App,0.23,81.15
Axis Bank Apps,47.25,1093.02
Bajaj Finserv,0.24,12.88
Bank of Baroda Apps,0.71,342.85
Bank of India App,0.05,20.23
Bank of Maharashtra App,0.05,12.46
BHIM,25.82,8511.91
Canara Bank App,0.26,98.95
Central Bank of India App,0.13,47.33
Citi Bank App,0.09,77.80
City Union Bank App,0.02,4.92
Cointab,1.21,179.22
Cred,10.68,14189.86
DBS Digibank App,0.51,186.79
Dena Bank App,0.02,26.50
Deutsche Bank App,0.92,62.08
Dhanlaxmi Bank App,0.01,2.95
Federal Bank App,0.54,109.25
Fino Payments bank App,0.03,2.79
Finshell Pay,0.07,3.69
Google Pay,1584.20,298267.07
HDFC Bank Apps,4.94,1366.89
HSBC Bank App,0.08,54.57
ICICI Bank Apps,33.43,8707.05
IDBI Bank App,0.02,12.54
IDFC Bank App,1.22,316.37
India Post Payments Bank App,2.65,309.42
Indian Bank App,0.13,47.42
IndusInd Bank App,0.74,1218.79
Jammu and Kashmir Bank App,0.01,2.47
Janta Sahakari Bank App,0.01,4.46
Jio Payments Bank App,2.05,114.39
Jupiter Money,1.02,156.15
Karnataka Bank App,0.25,31.19
Karur Vysya Bank App,0.04,17.37
Kotak Mahindra Bank Apps,6.88,1333.06
MakeMy Trip,0.06,19.63
MI Pay,0.27,40.51
Mobikwik,3.87,886.55
NSDL Payments Bank App,0.02,1.45
Paytm Payments Bank App,710.28,85125.97
PhonePe,2140.28,405173.78
Punjab National Bank App,0.09,44.86
Punjab Sindh Bank App,0.01,2.87
RBL Bank App,0.43,101.45
Samsung Pay,3.17,431.07
South Indian Bank App,0.13,41.40
Standard Chartered Bank App,0.11,60.49
State Bank of India Apps,3.62,1967.05
UCO Bank App,0.16,37.26
Ultracash,2.14,177.63
Union Bank Apps,0.39,182.27
WhatsApp,2.34,205.83
Yes Bank Apps,27.59,5817.16
YuvaPay,0.05,77.12
Others,0.02,9.08
