Application_Name,Total_Volume_Mn,Total_Value_Cr
PhonePe,4743.66,761247.87
Google Pay,3494.64,518095.10
Paytm Payments Bank App,1393.66,170767.35
Cred,80.34,30999.71
Axis Bank Apps,64.30,3217.03
Amazon Pay,57.60,6163.84
ICICI Bank Apps,35.92,17770.37
Yes Bank Apps,32.01,11502.79
BHIM,24.94,8244.91
Kotak Mahindra Bank Apps,18.56,3480.60
WhatsApp,17.84,1598.67
HDFC Bank Apps,17.77,4410.51
Fampay,16.79,206.43
Bajaj Finserv,12.11,1740.97
Airtel Payments Bank Apps,9.65,666.04
Samsung Pay,5.81,544.13
India Post Payments Bank Apps,5.43,587.75
Federal Bank Apps,5.19,665.11
State Bank of India Apps,5.01,2095.15
IDFC Bank Apps,4.17,1121.41
Standard Chartered Bank Apps,4.14,2129.38
Mobikwik,3.79,1140.63
Jupiter,3.27,466.39
Groww,2.81,2075.98
Deutsche Bank Apps,1.83,175.52
Canara Bank Apps,1.73,514.02
Kiwi,1.53,52.51
Bank of Baroda Apps,1.34,477.16
Jio Payments Bank Apps,1.34,114.12
RBL Bank Apps,1.28,529.58
slice,0.94,301.00
Union Bank Apps,0.88,349.19
IndusInd Bank Apps,0.84,723.32
Punjab National Bank Apps,0.79,181.50
AU Small Finance Bank Apps,0.68,209.86
Omnicard,0.62,19.49
Karnataka Bank Apps,0.61,124.34
DBS Digibank Apps,0.44,179.72
Central Bank of India Apps,0.44,97.75
UCO Bank Apps,0.36,116.31
Indian Bank Apps,0.31,92.64
South Indian Bank Apps,0.25,73.83
Bank of India Apps,0.25,78.83
Fino Payments bank Apps,0.17,13.36
HSBC Bank Apps,0.16,96.52
Fave,0.12,7.56
Bajaj Finserv PPI,0.11,25.80
TataNeu,0.10,16.70
Tamilnad Mercantile Bank Apps,0.10,23.50
IDBI Bank Apps,0.07,37.40
Citi Bank Apps,0.07,61.36
Ultracash,0.07,5.01
City Union Bank Apps,0.07,20.96
Indian Overseas Bank Apps,0.07,18.01
Karur Vysya Bank Apps,0.04,16.34
MakeMyTrip,0.04,19.92
Dhani,0.03,7.81
Equitas Small Finance Bank Apps,0.03,18.90
Bank of Maharashtra Apps,0.03,5.66
Allahabad Bank Apps,0.03,8.73
Punjab Sind Bank Apps,0.03,12.72
NSDL Payments Bank Apps,0.03,4.56
Utkarsh Small Finance Bank Apps,0.02,6.24
Mobikwik PPI,0.02,3.63
Jammu and Kashmir Bank Apps,0.01,2.29
Zomato,0.01,0.66
Dhanlaxmi Bank Apps,0.01,2.87
Bandhan Bank Apps,0.01,0.98
Shriram ,0.01,0.21
Others,0.03,11.05
