Application_Name,Total_Volume_Mn,Total_Value_Cr
PhonePe,4461.36,745552.2
Google Pay,3266.83,494088.0
Paytm Payments Bank App,1307.48,162494.8
Cred,73.93,26431.8
Amazon Pay,52.89,5647.9
Axis Bank Apps,47.64,2231.7
ICICI Bank Apps,37.63,16243.7
Yes Bank Apps,36.46,12997.5
BHIM,23.11,7289.0
HDFC Bank Apps,17.56,4168.6
Kotak Mahindra Bank Apps,17.38,3202.5
WhatsApp,16.00,1443.3
Fampay,14.99,184.7
Bajaj Finserv,9.76,1312.6
Airtel Payments Bank Apps,8.84,632.2
IDFC Bank Apps,6.31,1540.3
Samsung Pay,5.61,522.8
Federal Bank Apps,4.86,630.0
India Post Payments Bank Apps,4.83,742.5
State Bank of India Apps,4.64,1959.7
Mobikwik,3.58,1060.4
Jupiter,2.96,424.8
Deutsche Bank Apps,1.81,125.6
Canara Bank Apps,1.58,462.7
Groww,1.45,1039.6
Standard Chartered Bank Apps,1.40,672.6
Jio Payments Bank Apps,1.35,113.2
RBL Bank Apps,1.29,497.9
Bank of Baroda Apps,1.19,427.7
slice,0.88,272.8
IndusInd Bank Apps,0.79,897.6
Union Bank Apps,0.79,318.9
Punjab National Bank Apps,0.77,169.7
AU Small Finance Bank Apps,0.64,196.1
Karnataka Bank Apps,0.61,125.9
OmniCard,0.48,13.9
Central Bank of India Apps,0.44,97.6
DBS Digibank Apps,0.41,166.9
UCO Bank Apps,0.33,107.6
Indian Bank Apps,0.28,81.2
South Indian Bank Apps,0.25,70.5
Bank of India Apps,0.23,71.9
Jupiter Edge (LivQuick PPI),0.21,11.3
HSBC Bank Apps,0.15,89.2
Fino Payments bank Apps,0.13,9.2
TataNeu,0.12,17.6
Tamilnad Mercantile Bank Apps,0.08,18.9
IDBI Bank Apps,0.08,34.1
Citi Bank Apps,0.07,54.2
Fave,0.07,4.6
Bajaj Finserv PPI ,0.07,14.3
PINELABS,0.07,4.2
City Union Bank Apps,0.06,18.3
Kiwi,0.05,4.1
Indian Overseas Bank Apps,0.05,13.0
Ultracash,0.04,3.1
Karur Vysya Bank Apps,0.04,14.0
MakeMyTrip,0.03,18.2
Punjab Sind Bank Apps,0.03,12.6
Dhani ,0.03,7.0
Equitas Small Finance Bank Apps,0.03,17.3
Allahabad Bank Apps,0.03,8.3
NSDL Payments Bank Apps,0.02,4.1
GoNiyo PPI,0.02,0.5
Utkarsh Small Finance Bank Apps,0.02,6.3
Jammu and Kashmir Bank Apps,0.01,2.4
Bandhan Bank Apps,0.01,3.1
Zomato,0.01,1.7
Dhanlaxmi Bank Apps,0.01,3.2
Bank of Maharashtra Apps,0.01,0.8
Others,0.0,11.8
