Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps, 10.66 , 761.51 
Allahabad Bank Apps, 0.03 , 8.33 
Amazon Pay, 50.56 , 5360.90 
AU Small Finance Bank Apps, 0.62 , 186.48 
Axis Bank Apps, 58.24 , 1976.67 
Bajaj Finserv, 6.70 , 965.35 
Bajaj Finserv PPI, 0.05 , 12.22 
Bajaj Markets, 0.01 , 0.35 
Bandhan Bank Apps, 0.01 , 1.50 
Bank of America Apps, 0.01 , 2.07 
Bank of Baroda Apps, 1.16 , 447.25 
Bank of India Apps, 0.23 , 71.14 
Bank of Maharashtra Apps, 0.06 , 21.29 
BHIM, 23.68 , 7498.24 
Canara Bank Apps, 1.39 , 374.43 
Central Bank of India Apps, 0.36 , 83.56 
Citi Bank Apps, 0.12 , 67.55 
City Union Bank Apps, 0.06 , 18.93 
Cointab, 0.04 , 19.07 
Cred, 42.84 , 21056.31 
DBS Digibank Apps, 0.41 , 177.88 
Deutsche Bank Apps, 1.73 , 187.11 
Dhanlaxmi Bank Apps, 0.01 , 3.21 
Equitas Small Finance Bank Apps, 0.02 , 13.57 
Eroute, 0.27 , 19.25 
Fampay PPI, 9.49 , 124.59 
Fave, 0.08 , 6.40 
Federal Bank Apps, 5.25 , 648.51 
Fino Payments bank Apps, 0.13 , 8.18 
Google Pay, 3054.44 , 482896.69 
Groww, 0.18 , 137.64 
HDFC Bank Apps, 14.22 , 3644.88 
HSBC Bank Apps, 0.14 , 89.71 
ICICI Bank Apps, 41.59 , 17624.14 
IDBI Bank Apps, 0.07 , 32.38 
IDFC Bank Apps, 14.02 , 3306.18 
India Post Payments Bank Apps, 4.44 , 667.69 
Indian Bank Apps, 0.26 , 92.41 
Indian Overseas Bank Apps, 0.02 , 4.47 
IndusInd Bank Apps, 0.93 , 950.35 
Janata Sahakari Bank Apps, 0.01 , 3.74 
Jio Payments Bank Apps, 1.68 , 118.72 
Jupiter, 2.66 , 358.12 
Karnataka Bank Apps, 0.42 , 91.53 
Karur Vysya Bank Apps, 0.04 , 15.84 
Kotak Mahindra Bank Apps, 13.77 , 2854.65 
LivQuick PPI, 0.01 , 0.64 
MakeMyTrip, 0.05 , 23.50 
Mobikwik, 3.64 , 937.98 
NSDL Payments Bank Apps, 0.03 , 3.47 
Paytm Payments Bank App, 1288.38 , 154430.40 
PhonePe, 4076.32 , 707410.47 
Punjab National Bank Apps, 0.43 , 110.59 
Punjab Sind Bank Apps, 0.04 , 13.74 
RBL Bank Apps, 1.88 , 545.98 
Samsung Pay, 5.68 , 528.09 
South Indian Bank Apps, 0.22 , 66.08 
Standard Chartered Bank Apps, 0.15 , 94.14 
State Bank of India Apps, 4.36 , 2011.65 
Tamilnad Mercantile Bank Apps, 0.07 , 12.42 
TataNeu, 0.12 , 15.00 
Transerv PPI, 0.06 , 8.11 
UCO Bank Apps, 0.36 , 116.66 
Ultracash, 0.04 , 2.61 
Union Bank Apps, 0.75 , 310.24 
Utkarsh Small Finance Bank Apps, 0.02 , 6.35 
WhatsApp, 13.35 , 1144.76 
Yes Bank Apps, 31.47 , 10093.90 
Others, 0.02 , 5.18
