Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,9.17,627.17
Allahabad Bank Apps,0.03,8.87
Amazon Pay,57.08,5772.68
AU Small Finance Bank Apps,0.65,193.87
Axis Bank Apps,47.38,1916.44
Bajaj Finserv,9.12,1189.82
Bank of Baroda Apps,1.11,412.03
Bank of India Apps,0.22,69.87
BHIM,22.96,7209.87
BPAYWALLET,0.06,9.65
Canara Bank Apps,1.48,431.27
Central Bank of India Apps,0.43,95.58
Citi Bank Apps,0.09,55.38
City Union Bank Apps,0.06,20.02
Cointab,0.01,4.24
Cred,61.04,23426.74
DBS Digibank Apps,0.42,174.75
Deutsche Bank Apps,1.89,174.27
DHANI,0.04,7.55
Dhanlaxmi Bank Apps,0.01,2.93
Equitas Small Finance Bank Apps,0.03,16.31
FAM,13.78,166.50
Fave,0.02,1.68
Federal Bank Apps,5.12,643.62
Fino Payments bank Apps,0.09,6.60
Google Pay,3274.69,497748.17
Groww,0.47,287.97
HDFC Bank Apps,16.07,3982.69
HSBC Bank Apps,0.14,87.50
ICICI Bank Apps,43.92,17101.09
IDBI Bank Apps,0.08,34.64
IDFC Bank Apps,8.56,1696.01
India Post Payments Bank Apps,5.04,775.77
Indian Bank Apps,0.28,84.07
Indian Overseas Bank Apps,0.04,10.50
IndusInd Bank Apps,0.81,886.10
Jammu and Kashmir Bank Apps,0.01,2.00
Jio Payments Bank Apps,1.56,119.80
Jupiter,2.94,415.04
Akudo & Muvin (Livquik),0.18,6.62
Karnataka Bank Apps,0.63,127.13
Karur Vysya Bank Apps,0.04,13.65
Kotak Mahindra Bank Apps,16.31,3139.05
MakeMyTrip,0.02,8.01
Mobikwik,3.59,997.92
NSDL Payments Bank Apps,0.02,3.28
OMNI,0.39,10.10
Paytm Payments Bank App,1342.28,164843.79
PhonePe,4499.20,757276.68
PINELABS,0.06,3.25
Punjab National Bank Apps,1.10,177.69
Punjab Sind Bank Apps,0.04,13.71
RBL Bank Apps,1.24,489.36
RBLBANK,0.01,0.06
Samsung Pay,5.83,535.16
slice,0.83,194.68
South Indian Bank Apps,0.25,71.46
Standard Chartered Bank Apps,0.15,91.48
State Bank of India Apps,4.48,1969.95
Tamilnad Mercantile Bank Apps,0.07,14.83
TataNeu,0.15,19.28
UCO Bank Apps,0.36,118.26
Ultracash,0.01,1.13
Union Bank Apps,0.76,306.93
Utkarsh Small Finance Bank Apps,0.02,6.81
WhatsApp,15.98,1477.06
Yes Bank Apps,42.65,13006.24
Zomato,0.01,0.43
Others,0.03,10.98
