Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps, 8.73 , 671.09 
Allahabad Bank Apps, 0.03 , 8.98 
Amazon Pay, 59.76 , 5873.36 
Andhra Bank Apps, 0.01 , 1.53 
AU Small Finance Bank Apps, 0.53 , 160.30 
Axis Bank Apps, 77.77 , 1121.24 
Bajaj Finserv, 3.90 , 464.41 
Bandhan Bank Apps, 0.01 , 1.21 
Bank of Baroda Apps, 1.26 , 455.80 
Bank of India Apps, 0.20 , 57.87 
Bank of Maharashtra Apps, 0.07 , 18.29 
BHIM, 25.01 , 8144.83 
Canara Bank Apps, 0.86 , 232.51 
Central Bank of India Apps, 0.27 , 63.31 
Citi Bank Apps, 0.13 , 60.76 
City Union Bank Apps, 0.04 , 12.58 
Cointab, 0.03 , 13.87 
Cred, 25.63 , 18599.72 
DBS Digibank Apps, 0.41 , 169.55 
Deutsche Bank Apps, 1.30 , 104.21 
Dhanlaxmi Bank Apps, 0.01 , 2.75 
Equitas Small Finance Bank Apps, 0.02 , 9.82 
Fampay PPI, 4.88 , 64.75 
Fave, 0.05 , 2.83 
Federal Bank Apps, 4.11 , 553.97 
Fino Payments bank Apps, 0.10 , 6.61 
Google Pay, 2541.14 , 409714.75 
Groww, 0.05 , 36.46 
HDFC Bank Apps, 10.66 , 2758.45 
HSBC Bank Apps, 0.12 , 72.58 
ICICI Bank Apps, 44.07 , 14750.80 
IDBI Bank Apps, 0.06 , 24.78 
IDFC Bank Apps, 10.47 , 903.37 
India Post Payments Bank Apps, 4.66 , 589.14 
Indian Bank Apps, 0.23 , 67.20 
Indian Overseas Bank Apps, 0.01 , 2.48 
IndusInd Bank Apps, 1.20 , 1224.13 
Janata Sahakari Bank Apps, 0.01 , 3.99 
Jio Payments Bank Apps, 1.31 , 96.23 
Jupiter, 2.16 , 275.52 
Karnataka Bank Apps, 0.40 , 74.82 
Karur Vysya Bank Apps, 0.04 , 16.23 
Kotak Mahindra Bank Apps, 10.93 , 2304.90 
MakeMyTrip, 0.02 , 7.69 
Mobikwik, 3.46 , 762.67 
NSDL Payments Bank Apps, 0.02 , 2.70 
Paytm Payments Bank App, 1081.47 , 128805.91 
PhonePe, 3418.75 , 591327.61 
Punjab National Bank Apps, 0.16 , 60.47 
Punjab Sind Bank Apps, 0.03 , 8.97 
RBL Bank Apps, 1.18 , 270.81 
Samsung Pay, 5.07 , 506.82 
Slash, 0.01 , 0.28 
slice, 0.51 , 206.66 
South Indian Bank Apps, 0.20 , 58.10 
Standard Chartered Bank Apps, 0.55 , 92.57 
State Bank of India Apps, 4.07 , 1876.46 
Tamilnad Mercantile Bank Apps, 0.07 , 10.48 
TataNeu, 0.14 , 17.17 
TJSB Bank Apps, 0.01 , 2.25 
UCO Bank Apps, 0.26 , 78.38 
Ultracash, 0.02 , 0.27 
Union Bank Apps, 1.11 , 313.30 
Utkarsh Small Finance Bank Apps, 0.02 , 7.10 
WhatsApp, 9.25 , 769.29 
Yes Bank Apps, 43.58 , 14902.42 
Others, 0.02 , 4.07
