Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,14.31,4746.79
Allahabad Bank App,0.02,6.35
Amazon Pay,68.82,6286.60
AU Small Finance Bank App,0.16,62.15
Axis Bank Apps,69.28,1005.70
Bajaj Finserv,0.06,4.30
Bank of Baroda Apps,0.80,344.85
Bank of India App,0.03,12.88
Bank of Maharashtra App,0.04,10.50
BHIM,27.27,8513.82
Canara Bank App,0.21,77.06
Central Bank of India App,0.12,45.48
Citi Bank App,0.11,81.21
City Union Bank App,0.01,3.95
Cointab,0.45,84.71
Cred,9.73,12561.25
DBS Digibank App,0.58,198.18
Dena Bank App,0.02,27.43
Deutsche Bank App,0.85,99.23
Federal Bank App,0.44,90.50
Fino Payments bank App,0.02,1.75
Finshell Pay,0.03,1.26
Google Pay,1451.93,287491.46
HDFC Bank Apps,5.02,1082.99
HSBC Bank App,0.08,53.39
ICICI Bank Apps,29.27,6329.63
IDBI Bank App,0.03,14.22
IDFC Bank App,0.62,231.02
India Post Payments Bank App,2.39,291.70
Indian Bank App,0.09,38.84
IndusInd Bank App,1.05,1014.56
Jio Payments Bank App,1.33,85.75
Jupiter Money,0.29,60.00
Karnataka Bank App,0.20,25.71
Karur Vysya Bank App,0.03,15.40
Kotak Mahindra Bank Apps,5.38,944.50
MakeMy Trip,0.13,48.40
MI Pay,0.37,54.77
Mobikwik,4.08,1070.32
Paytm Payments Bank App,632.18,80508.04
PhonePe,1937.57,365845.39
Punjab National Bank App,0.08,32.06
RBL Bank App,0.22,84.08
Samsung Pay,2.81,428.41
South Indian Bank App,0.11,37.40
Standard Chartered Bank App,0.10,56.38
State Bank of India Apps,3.98,2089.18
UCO Bank App,0.11,27.95
Ultracash,2.32,170.32
Union Bank Apps,0.66,223.98
WhatsApp*,2.60,104.19
Yes Bank Apps,28.41,7660.27
YuvaPay,0.04,61.62
Other Apps,0.05,21.51
