Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps, 11.52 , 3759.12 
Allahabad Bank App, 0.02 , 5.34 
Amazon Pay, 62.90 , 5267.79 
AU Small Finance Bank App, 0.13 , 46.49 
Axis Bank Apps, 59.13 , 832.73 
Bajaj Finserv, 0.04 , 3.03 
Bank of Baroda Apps, 0.73 , 293.05 
Bank of India App, 0.03 , 12.45 
Bank of Maharashtra App, 0.04 , 7.80 
BHIM, 25.36 , 7538.58 
Canara Bank App, 0.16 , 51.88 
Central Bank of India App, 0.13 , 47.35 
Citi Bank App, 0.12 , 68.42 
City Union Bank App, 0.01 , 3.32 
Cointab, 0.34 , 69.81 
Cred, 7.74 , 9614.36 
DBS Digibank App, 0.55 , 180.79 
Dena Bank App, 0.02 , 24.37 
Deutsche Bank App, 0.76 , 70.24 
Dhanlaxmi Bank App, 0.01 , 2.86 
Federal Bank App, 0.39 , 79.44 
Fino Payments bank App, 0.02 , 1.63 
Finshell Pay, 0.02 , 0.72 
Goibibo, 0.01 , 2.62 
Google Pay, 1294.56 , 250393.65 
HDFC Bank Apps, 3.14 , 772.08 
HSBC Bank App, 0.08 , 43.02 
ICICI Bank Apps, 22.11 , 6579.65 
IDBI Bank App, 0.02 , 12.00 
IDFC Bank App, 0.49 , 181.96 
India Post Payments Bank App, 2.28 , 267.94 
Indian Bank App, 0.08 , 35.34 
IndusInd Bank App, 0.33 , 532.43 
Jio Payments Bank App, 1.24 , 74.89 
Jupiter Money, 0.13 , 29.30 
Karnataka Bank App, 0.16 , 18.64 
Karur Vysya Bank App, 0.03 , 14.14 
Kotak Mahindra Bank Apps, 4.31 , 771.05 
MakeMy Trip, 0.08 , 25.67 
MI Pay, 0.36 , 51.29 
Mobikwik, 3.20 , 687.94 
NSDL Payments Bank App, 0.01 , 0.84 
Paytm Payments Bank App, 543.55 , 61417.53 
PhonePe, 1653.19 , 306437.37 
Punjab National Bank App, 0.07 , 25.07 
Punjab Sindh Bank App, 0.01 , 2.70 
RBL Bank App, 0.17 , 65.95 
Samsung Pay, 2.37 , 371.10 
South Indian Bank App, 0.09 , 31.18 
Standard Chartered Bank App, 0.08 , 45.86 
State Bank of India Apps, 3.77 , 1874.58 
UCO Bank App, 0.10 , 23.44 
Ultracash, 2.02 , 163.57 
Union Bank Apps, 0.41 , 155.20 
WhatsApp, 1.01 , 62.31 
Yes Bank Apps, 23.03 , 4994.33 
YuvaPay, 0.04 , 46.94 
Other Apps, 0.03 , 11.75 
