,Unnamed: 0,Application_Name,Total_Volume_Mn,Total_Value_Cr
0,1,Airtel Payments Bank Apps,5.3,460.9
1,2,Amazon Pay,73.21,6699.57
2,3,AU Small Finance Bank Apps,0.32,109.89
3,4,Axis Bank Apps,64.03,1257.15
4,5,Bajaj Finserv,0.52,38.61
5,6,Bank of Baroda Apps,0.77,344.65
6,7,Bank of India Apps,0.1,32.62
7,8,Bank of Maharashtra Apps,0.05,14.56
8,9,BHIM,25.69,8354.34
9,10,Canara Bank Apps,0.31,110.31
10,11,Central Bank of India Apps,0.13,51.04
11,12,Citi Bank Apps,0.08,66.03
12,13,City Union Bank Apps,0.03,8.41
13,14,Cointab,0.07,28.5
14,15,Cred,13.05,16372.92
15,16,DBS Digibank Apps,0.47,175.45
16,17,Deutsche Bank Apps,1.51,128.43
17,18,Dhanlaxmi Bank Apps,0.01,3.02
18,19,Fave,0.18,7.73
19,20,Federal Bank Apps,2.7,375.64
20,21,Fino Payments bank Apps,0.04,3.26
21,22,Finserv Markets,0.01,1.06
22,23,Finshell Pay,0.08,4.45
23,24,GoIbibo,0.01,3.31
24,25,Google Pay,1914.77,344791.35
25,26,Groww,0.61,376.18
26,27,HDFC Bank Apps,5.9,1759.12
27,28,HSBC Bank Apps,0.11,59.72
28,29,ICICI Bank Apps,37.65,9356.17
29,30,IDBI Bank Apps,0.03,16.78
30,31,IDFC Bank Apps,2.49,532.69
31,32,India Post Payments Bank Apps,2.8,328.53
32,33,Indian Bank Apps,0.14,49.9
33,34,Indian Overseas Bank Apps,0.01,1.52
34,35,IndusInd Bank Apps,1.02,2596.71
35,36,Janata Sahakari Bank Apps,0.01,4.28
36,37,Jio Payments Bank Apps,2.1,126.25
37,38,Jupiter,1.47,186.13
38,39,Jupiter Edge (LivQuick PPI App),0.01,0.43
39,40,Karnataka Bank Apps,0.27,35.58
40,41,Karur Vysya Bank Apps,0.04,18.54
41,42,Kotak Mahindra Bank Apps,7.96,1684.35
42,43,MakeMyTrip,0.09,41.18
43,44,MI Pay,0.19,28.58
44,45,Mobikwik,2.37,421.47
45,46,NSDL Payments Bank Apps,0.02,2.32
46,47,Paytm Payments Bank App,851.61,101649.06
47,48,PhonePe,2616.26,486557.03
48,49,Punjab National Bank Apps,0.09,46.27
49,50,Punjab Sind Bank Apps,0.01,5.38
50,51,RBL Bank Apps,0.3,113.65
51,52,Samsung Pay,3.81,470.11
52,53,South Indian Bank Apps,0.13,45.03
53,54,Standard Chartered Bank Apps,0.12,68.15
54,55,State Bank of India Apps,4.03,2118.0
55,56,SuperPay,0.02,0.4
56,57,Tamilnad Mercantile Bank Apps,0.01,0.26
57,58,TataNeu,0.35,32.82
58,59,UCO Bank Apps,0.21,41.48
59,60,Ultracash,0.03,2.22
60,61,Union Bank Apps,0.42,198.34
61,62,Utkarsh Small Finance Bank Apps,0.01,3.88
62,63,WhatsApp,2.5,242.4
63,64,Yes Bank Apps,34.07,10246.99
64,65,YuvaPay,0.06,103.34
65,66,Others,0.02,8.26
66,0,Airtel Payments Bank Apps,7.96,608.5
67,1,Allahabad Bank Apps,0.03,7.7
68,2,Amazon Pay,62.43,6353.15
69,3,AU Small Finance Bank Apps,0.45,138.7
70,4,Axis Bank Apps,58.11,1357.89
71,5,Bajaj Finserv,2.45,178.59
72,6,Bajaj Markets,0.02,1.58
73,7,Bandhan Bank Apps,0.01,1.25
74,8,Bank of Baroda Apps,0.99,383.43
75,9,Bank of India Apps,0.17,54.81
76,10,Bank of Maharashtra Apps,0.07,17.19
77,11,BHIM,24.99,7860.48
78,12,Canara Bank Apps,0.67,176.37
79,13,Central Bank of India Apps,0.24,64.59
80,14,Citi Bank Apps,0.11,63.08
81,15,City Union Bank Apps,0.04,11.45
82,16,Cointab,0.06,24.98
83,17,Cred,14.81,19084.3
84,18,DBS Digibank Apps,0.48,178.76
85,19,Deutsche Bank Apps,1.98,119.21
86,20,Dhanlaxmi Bank Apps,0.01,3.1
87,21,Equitas Small Finance Bank Apps,0.01,4.94
88,22,Fave,0.14,7.71
89,23,Federal Bank Apps,3.8,520.2
90,24,Fino Payments bank Apps,0.08,5.05
91,25,GoIbibo,0.01,4.82
92,26,Google Pay,2212.73,371081.16
93,27,Groww,0.8,490.93
94,28,HDFC Bank Apps,9.83,2415.47
95,29,HSBC Bank Apps,0.11,66.14
96,30,ICICI Bank Apps,45.59,10725.25
97,31,IDBI Bank Apps,0.04,20.31
98,32,IDFC Bank Apps,10.19,762.41
99,33,India Post Payments Bank Apps,4.3,504.41
100,34,Indian Bank Apps,0.22,63.33
101,35,Indian Overseas Bank Apps,0.01,4.66
102,36,IndusInd Bank Apps,1.01,1605.56
103,37,Janata Sahakari Bank Apps,0.01,4.56
104,38,Jio Payments Bank Apps,1.85,113.28
105,39,Jupiter,2.03,249.2
106,40,Karnataka Bank Apps,0.38,55.32
107,41,Karur Vysya Bank Apps,0.04,16.54
108,42,Kotak Mahindra Bank Apps,9.28,1939.14
109,43,MakeMyTrip,0.15,62.67
110,44,MI Pay,0.15,24.8
111,45,Mobikwik,2.84,562.95
112,46,NSDL Payments Bank Apps,0.02,2.85
113,47,Paytm Payments Bank App,986.39,114217.1
114,48,PhonePe,3146.71,528433.49
115,49,Punjab National Bank Apps,0.09,43.41
116,50,Punjab Sind Bank Apps,0.01,5.25
117,51,RBL Bank Apps,0.82,163.02
118,52,Samsung Pay,4.09,468.37
119,53,South Indian Bank Apps,0.16,52.73
120,54,Standard Chartered Bank Apps,0.14,73.6
121,55,State Bank of India Apps,4.1,1926.51
122,56,Tamilnad Mercantile Bank Apps,0.06,7.94
123,57,TataNeu,0.1,15.78
124,58,TJSB Bank Apps,0.01,2.2
125,59,UCO Bank Apps,0.25,65.69
126,60,Ultracash,0.02,1.54
127,61,Union Bank Apps,0.52,215.23
128,62,Utkarsh Small Finance Bank Apps,0.02,4.71
129,63,WhatsApp,6.72,567.17
130,64,Yes Bank Apps,57.8,16234.92
131,65,Others,0.01,5.72
132,0,Airtel Payments Bank Apps,8.7,681.67
133,1,Allahabad Bank Apps,0.03,9.75
134,2,Amazon Pay,69.61,6621.66
135,3,AU Small Finance Bank Apps,0.58,177.47
136,4,Axis Bank Apps,65.56,1305.09
137,5,Bajaj Finserv,4.56,647.71
138,6,Bandhan Bank Apps,0.01,1.53
139,7,Bank of Baroda Apps,1.02,397.56
140,8,Bank of India Apps,0.22,64.32
141,9,Bank of Maharashtra Apps,0.08,19.91
142,10,BHIM,25.5,8400.04
143,11,Canara Bank Apps,1.02,275.7
144,12,Central Bank of India Apps,0.26,60.32
145,13,Citi Bank Apps,0.09,68.38
146,14,City Union Bank Apps,0.05,14.38
147,15,Cointab,0.05,18.98
148,16,Cred,31.42,19622.29
149,17,DBS Digibank Apps,0.41,171.59
150,18,Deutsche Bank Apps,1.28,104.49
151,19,Dhanlaxmi Bank Apps,0.01,3.16
152,20,Equitas Small Finance Bank Apps,0.02,11.69
153,21,Fampay PPI,9.7,127.19
154,22,Fave,0.08,5.01
155,23,Federal Bank Apps,4.57,595.18
156,24,Fino Payments bank Apps,0.11,7.49
157,25,Google Pay,2712.34,440370.99
158,26,Groww,0.21,153.02
159,27,HDFC Bank Apps,11.81,3143.24
160,28,HSBC Bank Apps,0.15,78.63
161,29,ICICI Bank Apps,48.29,16125.15
162,30,IDBI Bank Apps,0.07,29.5
163,31,IDFC Bank Apps,9.7,1322.98
164,32,India Post Payments Bank Apps,5.55,682.59
165,33,Indian Bank Apps,0.25,73.71
166,34,Indian Overseas Bank Apps,0.01,2.9
167,35,IndusInd Bank Apps,1.26,1062.4
168,36,Janata Sahakari Bank Apps,0.01,4.58
169,37,Jio Payments Bank Apps,1.48,104.71
170,38,Jupiter,2.53,318.03
171,39,Karnataka Bank Apps,0.48,91.09
172,40,Karur Vysya Bank Apps,0.04,14.87
173,41,Kotak Mahindra Bank Apps,11.53,2480.18
174,42,MakeMyTrip,0.1,52.3
175,43,Mobikwik,3.62,806.82
176,44,NSDL Payments Bank Apps,0.02,2.95
177,45,Paytm Payments Bank App,1170.34,138821.66
178,46,PhonePe,3674.24,639348.78
179,47,Punjab National Bank Apps,0.22,76.7
180,48,Punjab Sind Bank Apps,0.03,10.48
181,49,RBL Bank Apps,1.1,215.3
182,50,Samsung Pay,5.49,531.12
183,51,Slash,0.01,0.79
184,52,Slice,0.15,15.74
185,53,South Indian Bank Apps,0.18,53.2
186,54,Standard Chartered Bank Apps,0.16,90.42
187,55,State Bank of India Apps,4.22,1928.43
188,56,Tamilnad Mercantile Bank Apps,0.08,12.13
189,57,TataNeu,0.15,17.64
190,58,UCO Bank Apps,0.31,93.32
191,59,Ultracash,0.03,1.65
192,60,Union Bank Apps,0.92,310.63
193,61,Utkarsh Small Finance Bank Apps,0.02,7.81
194,62,WhatsApp,11.05,917.49
195,63,Yes Bank Apps,36.16,13415.46
196,64,Others,0.03,7.64
197,0,Airtel Payments Bank Apps,7.58,2210.17
198,1,Allahabad Bank App,0.02,6.28
199,2,Amazon Pay,63.49,6044.47
200,3,AU Small Finance Bank App,0.25,89.36
201,4,Axis Bank Apps,54.78,1405.26
202,5,Bajaj Finserv,0.33,19.32
203,6,Bank of Baroda Apps,0.67,330.69
204,7,Bank of India App,0.05,21.28
205,8,Bank of Maharashtra App,0.05,12.49
206,9,BHIM,23.25,7891.86
207,10,Canara Bank App,0.26,95.78
208,11,Central Bank of India App,0.12,45.26
209,12,Citi Bank App,0.08,69.22
210,13,City Union Bank App,0.02,5.49
211,14,Cointab,1.73,280.57
212,15,Cred,10.08,13364.09
213,16,DBS Digibank App,0.46,173.63
214,17,Dena Bank App,0.02,23.93
215,18,Deutsche Bank App,0.87,70.43
216,19,Dhanlaxmi Bank App,0.01,2.83
217,20,Federal Bank App,0.55,108.21
218,21,Fino Payments bank App,0.03,3.25
219,22,Finshell Pay,0.06,3.8
220,23,Google Pay,1524.09,291273.46
221,24,HDFC Bank Apps,4.59,1370.03
222,25,HSBC Bank App,0.08,52.97
223,26,ICICI Bank Apps,30.66,8727.44
224,27,IDBI Bank App,0.02,14.6
225,28,IDFC Bank App,1.21,321.93
226,29,India Post Payments Bank App,2.21,268.9
227,30,Indian Bank App,0.11,42.07
228,31,IndusInd Bank App,0.77,1358.24
229,32,Jammu and Kashmir Bank App,0.01,3.43
230,33,Janta Sahakari Bank App,0.01,4.33
231,34,Jio Payments Bank App,1.97,111.85
232,35,Jupiter Money,1.13,140.79
233,36,Karnataka Bank App,0.25,31.35
234,37,Karur Vysya Bank App,0.04,17.17
235,38,Kotak Mahindra Bank Apps,6.91,1383.3
236,39,MakeMy Trip,0.08,33.03
237,40,MI Pay,0.25,38.46
238,41,Mobikwik,3.78,755.89
239,42,NSDL Payments Bank App,0.02,1.77
240,43,Paytm Payments Bank App,706.77,86299.22
241,44,PhonePe,2120.2,407640.11
242,45,Punjab National Bank App,0.08,43.49
243,46,Punjab Sindh Bank Apps,0.01,2.66
244,47,RBL Bank App,0.51,107.25
245,48,Samsung Pay,3.14,421.97
246,49,South Indian Bank App,0.12,38.69
247,50,Standard Chartered Bank App,0.12,64.7
248,51,State Bank of India Apps,3.38,1863.42
249,52,UCO Bank App,0.16,35.05
250,53,Ultracash,1.51,158.7
251,54,Union Bank Apps,0.35,166.72
252,55,Utkarsh Small Finance Bank,0.01,2.42
253,56,WhatsApp,2.24,207.09
254,57,Yes Bank Apps,32.17,6551.61
255,58,YuvaPay,0.05,89.7
256,59,Others,0.02,8.15
257,0,Airtel Payments Bank Apps,13.22,4729.77
258,1,Allahabad Bank App,0.02,7.36
259,2,Amazon Pay,73.5,6729.66
260,3,AU Small Finance Bank App,0.23,81.15
261,4,Axis Bank Apps,47.25,1093.02
262,5,Bajaj Finserv,0.24,12.88
263,6,Bank of Baroda Apps,0.71,342.85
264,7,Bank of India App,0.05,20.23
265,8,Bank of Maharashtra App,0.05,12.46
266,9,BHIM,25.82,8511.91
267,10,Canara Bank App,0.26,98.95
268,11,Central Bank of India App,0.13,47.33
269,12,Citi Bank App,0.09,77.8
270,13,City Union Bank App,0.02,4.92
271,14,Cointab,1.21,179.22
272,15,Cred,10.68,14189.86
273,16,DBS Digibank App,0.51,186.79
274,17,Dena Bank App,0.02,26.5
275,18,Deutsche Bank App,0.92,62.08
276,19,Dhanlaxmi Bank App,0.01,2.95
277,20,Federal Bank App,0.54,109.25
278,21,Fino Payments bank App,0.03,2.79
279,22,Finshell Pay,0.07,3.69
280,23,Google Pay,1584.2,298267.07
281,24,HDFC Bank Apps,4.94,1366.89
282,25,HSBC Bank App,0.08,54.57
283,26,ICICI Bank Apps,33.43,8707.05
284,27,IDBI Bank App,0.02,12.54
285,28,IDFC Bank App,1.22,316.37
286,29,India Post Payments Bank App,2.65,309.42
287,30,Indian Bank App,0.13,47.42
288,31,IndusInd Bank App,0.74,1218.79
289,32,Jammu and Kashmir Bank App,0.01,2.47
290,33,Janta Sahakari Bank App,0.01,4.46
291,34,Jio Payments Bank App,2.05,114.39
292,35,Jupiter Money,1.02,156.15
293,36,Karnataka Bank App,0.25,31.19
294,37,Karur Vysya Bank App,0.04,17.37
295,38,Kotak Mahindra Bank Apps,6.88,1333.06
296,39,MakeMy Trip,0.06,19.63
297,40,MI Pay,0.27,40.51
298,41,Mobikwik,3.87,886.55
299,42,NSDL Payments Bank App,0.02,1.45
300,43,Paytm Payments Bank App,710.28,85125.97
