Application_Name,Total_Volume_Mn,Total_Value_Cr
Airtel Payments Bank Apps,14.7,11172.43
Allahabad Bank App,0.02,5.21
Amazon Pay,49.12,4272.47
AU Small Finance Bank App,0.04,20.23
Axis Bank Apps,80.52,747.46
Bajaj Finserv,0.01,0.96
Bank of Baroda Apps,0.56,238.5
Bank of India App,0.01,2.11
Bank of Maharashtra App,0.02,6.05
BHIM,22.26,6886.78
Canara Bank App,0.09,43.87
Central Bank of India App,0.11,41.58
Citi Bank App,0.08,68.17
Cointab,0.11,40.84
Cred,5.08,5419.88
DBS Digibank App,0.54,164.93
Dena Bank App,0.02,22.37
Deutsche Bank App,0.43,43.58
Federal Bank App,0.19,39.57
Fino Payments bank App,0.01,1.18
Google Pay,905.96,190106.71
HDFC Bank Apps,1.42,243.86
HSBC Bank App,0.07,40.03
ICICI Bank Apps,14.37,3827.95
IDBI Bank App,0.02,9.59
IDFC Bank App,0.15,65.23
India Post Payments Bank App,1.32,174.08
Indian Bank App,0.06,24.13
IndusInd Bank App,4.2,654.49
Jio Payments Bank App,0.57,35.43
Karnataka Bank App,0.12,21.13
Karur Vysya Bank App,0.03,13.08
Kotak Mahindra Bank Apps,2.13,381.37
MakeMy Trip,0.08,26.08
MI Pay,0.38,58.08
Mobikwik,2.09,254.32
Paytm Payments Bank App,372.7,41469.53
PhonePe,1189.89,234023.33
Punjab National Bank App,0.12,63.07
RBL Bank App,0.13,58.08
Samsung Pay,1.62,312.93
South Indian Bank App,0.07,23.53
Standard Chartered Bank App,0.06,33.32
State Bank of India Apps,4.14,2359.08
UCO Bank App,0.07,16.17
Ultracash,1.49,178.72
Union Bank Apps,0.34,135.79
WhatsApp,0.54,47.62
Yes Bank Apps,22.81,5120.17
YuvaPay,1.59,51.22
Other Apps,0.03,13.88
Airtel Payments Bank Apps,5.3,460.9
Amazon Pay,73.21,6699.57
AU Small Finance Bank Apps,0.32,109.89
Axis Bank Apps,64.03,1257.15
Bajaj Finserv,0.52,38.61
Bank of Baroda Apps,0.77,344.65
Bank of India Apps,0.1,32.62
Bank of Maharashtra Apps,0.05,14.56
BHIM,25.69,8354.34
Canara Bank Apps,0.31,110.31
Central Bank of India Apps,0.13,51.04
Citi Bank Apps,0.08,66.03
City Union Bank Apps,0.03,8.41
Cointab,0.07,28.5
Cred,13.05,16372.92
DBS Digibank Apps,0.47,175.45
Deutsche Bank Apps,1.51,128.43
Dhanlaxmi Bank Apps,0.01,3.02
Fave,0.18,7.73
Federal Bank Apps,2.7,375.64
Fino Payments bank Apps,0.04,3.26
Finserv Markets,0.01,1.06
Finshell Pay,0.08,4.45
GoIbibo,0.01,3.31
Google Pay,1914.77,344791.35
Groww,0.61,376.18
HDFC Bank Apps,5.9,1759.12
HSBC Bank Apps,0.11,59.72
ICICI Bank Apps,37.65,9356.17
IDBI Bank Apps,0.03,16.78
IDFC Bank Apps,2.49,532.69
India Post Payments Bank Apps,2.8,328.53
Indian Bank Apps,0.14,49.9
Indian Overseas Bank Apps,0.01,1.52
IndusInd Bank Apps,1.02,2596.71
Janata Sahakari Bank Apps,0.01,4.28
Jio Payments Bank Apps,2.1,126.25
Jupiter,1.47,186.13
Jupiter Edge (LivQuick PPI App),0.01,0.43
Karnataka Bank Apps,0.27,35.58
Karur Vysya Bank Apps,0.04,18.54
Kotak Mahindra Bank Apps,7.96,1684.35
MakeMyTrip,0.09,41.18
MI Pay,0.19,28.58
Mobikwik,2.37,421.47
NSDL Payments Bank Apps,0.02,2.32
Paytm Payments Bank App,851.61,101649.06
PhonePe,2616.26,486557.03
Punjab National Bank Apps,0.09,46.27
Punjab Sind Bank Apps,0.01,5.38
RBL Bank Apps,0.3,113.65
Samsung Pay,3.81,470.11
South Indian Bank Apps,0.13,45.03
Standard Chartered Bank Apps,0.12,68.15
State Bank of India Apps,4.03,2118
SuperPay,0.02,0.4
Tamilnad Mercantile Bank Apps,0.01,0.26
TataNeu,0.35,32.82
UCO Bank Apps,0.21,41.48
Ultracash,0.03,2.22
Union Bank Apps,0.42,198.34
Utkarsh Small Finance Bank Apps,0.01,3.88
WhatsApp,2.5,242.4
Yes Bank Apps,34.07,10246.99
YuvaPay,0.06,103.34
Others,0.02,8.26
Airtel Payments Bank Apps,9.04,640.22
Allahabad Bank Apps,0.03,8.96
Amazon Pay,53.44,5351.07
AU Small Finance Bank Apps,0.63,184.93
Axis Bank Apps,51.74,1869.89
Bajaj Finserv,7.68,1053.08
Bandhan Bank Apps,0.01,1.44
Bank of Baroda Apps,1.06,392.74
Bank of India Apps,0.22,66.93
Bank of Maharashtra Apps,0.06,19.83
BHIM,23.77,7368.61
BPAYWALLET,0.05,9.91
Canara Bank Apps,1.4,383.46
Central Bank of India Apps,0.41,91.27
Citi Bank Apps,0.1,58.17
City Union Bank Apps,0.06,18.31
Cointab,0.02,10.61
Cred,45.7,20729.56
DBS Digibank Apps,0.41,173.13
Deutsche Bank Apps,1.65,143.66
DHANI,0.08,9.21
Dhanlaxmi Bank Apps,0.01,2.8
Equitas Small Finance Bank Apps,0.02,13.86
FAM,11.78,146.58
Fave,0.03,3.27
Federal Bank Apps,5.18,624.64
Fino Payments bank Apps,0.08,5.67
Google Pay,3109.24,474049.9
Groww,0.11,80.85
HDFC Bank Apps,14.48,3701.81
HSBC Bank Apps,0.14,90.13
ICICI Bank Apps,41.98,16704.57
IDBI Bank Apps,0.07,32.02
IDFC Bank Apps,12.66,2865.32
India Post Payments Bank Apps,5.24,746.48
Indian Bank Apps,0.27,86.37
Indian Overseas Bank Apps,0.03,7.76
IndusInd Bank Apps,0.8,877.27
Jio Payments Bank Apps,1.49,112.21
Jupiter,2.72,380.27
Akudo & Muvin (Livquik),0.11,4.25
Karnataka Bank Apps,0.51,110.35
Karur Vysya Bank Apps,0.04,14.19
Kotak Mahindra Bank Apps,13.98,2845.65
