,Application_Name,Total_Volume_Mn,Total_Value_Cr
0,Airtel Payments Bank Apps,14.7,11172.43
1,Allahabad Bank App,0.02,5.21
2,Amazon Pay,49.12,4272.47
3,AU Small Finance Bank App,0.04,20.23
4,Axis Bank Apps,80.52,747.46
5,Bajaj Finserv,0.01,0.96
6,Bank of Baroda Apps,0.56,238.5
7,Bank of India App,0.01,2.11
8,Bank of Maharashtra App,0.02,6.05
9,BHIM,22.26,6886.78
10,Canara Bank App,0.09,43.87
11,Central Bank of India App,0.11,41.58
12,Citi Bank App,0.08,68.17
13,Cointab,0.11,40.84
14,Cred,5.08,5419.88
15,DBS Digibank App,0.54,164.93
16,Dena Bank App,0.02,22.37
17,Deutsche Bank App,0.43,43.58
18,Federal Bank App,0.19,39.57
19,Fino Payments bank App,0.01,1.18
20,Google Pay,905.96,190106.71
21,HDFC Bank Apps,1.42,243.86
22,HSBC Bank App,0.07,40.03
23,ICICI Bank Apps,14.37,3827.95
24,IDBI Bank App,0.02,9.59
25,IDFC Bank App,0.15,65.23
26,India Post Payments Bank App,1.32,174.08
27,Indian Bank App,0.06,24.13
28,IndusInd Bank App,4.2,654.49
29,Jio Payments Bank App,0.57,35.43
30,Karnataka Bank App,0.12,21.13
31,Karur Vysya Bank App,0.03,13.08
32,Kotak Mahindra Bank Apps,2.13,381.37
33,MakeMy Trip,0.08,26.08
34,MI Pay,0.38,58.08
35,Mobikwik,2.09,254.32
36,Paytm Payments Bank App,372.7,41469.53
37,PhonePe,1189.89,234023.33
38,Punjab National Bank App,0.12,63.07
39,RBL Bank App,0.13,58.08
40,Samsung Pay,1.62,312.93
41,South Indian Bank App,0.07,23.53
42,Standard Chartered Bank App,0.06,33.32
43,State Bank of India Apps,4.14,2359.08
44,UCO Bank App,0.07,16.17
45,Ultracash,1.49,178.72
46,Union Bank Apps,0.34,135.79
47,WhatsApp,0.54,47.62
48,Yes Bank Apps,22.81,5120.17
49,YuvaPay,1.59,51.22
50,Other Apps,0.03,13.88
1,Airtel Payments Bank Apps,5.3,460.9
2,Amazon Pay,73.21,6699.57
3,AU Small Finance Bank Apps,0.32,109.89
4,Axis Bank Apps,64.03,1257.15
5,Bajaj Finserv,0.52,38.61
6,Bank of Baroda Apps,0.77,344.65
7,Bank of India Apps,0.1,32.62
8,Bank of Maharashtra Apps,0.05,14.56
9,BHIM,25.69,8354.34
10,Canara Bank Apps,0.31,110.31
11,Central Bank of India Apps,0.13,51.04
12,Citi Bank Apps,0.08,66.03
13,City Union Bank Apps,0.03,8.41
14,Cointab,0.07,28.5
15,Cred,13.05,16372.92
16,DBS Digibank Apps,0.47,175.45
17,Deutsche Bank Apps,1.51,128.43
18,Dhanlaxmi Bank Apps,0.01,3.02
19,Fave,0.18,7.73
20,Federal Bank Apps,2.7,375.64
21,Fino Payments bank Apps,0.04,3.26
22,Finserv Markets,0.01,1.06
23,Finshell Pay,0.08,4.45
24,GoIbibo,0.01,3.31
25,Google Pay,1914.77,344791.35
26,Groww,0.61,376.18
27,HDFC Bank Apps,5.9,1759.12
28,HSBC Bank Apps,0.11,59.72
29,ICICI Bank Apps,37.65,9356.17
30,IDBI Bank Apps,0.03,16.78
31,IDFC Bank Apps,2.49,532.69
32,India Post Payments Bank Apps,2.8,328.53
33,Indian Bank Apps,0.14,49.9
34,Indian Overseas Bank Apps,0.01,1.52
35,IndusInd Bank Apps,1.02,2596.71
36,Janata Sahakari Bank Apps,0.01,4.28
37,Jio Payments Bank Apps,2.1,126.25
38,Jupiter,1.47,186.13
39,Jupiter Edge (LivQuick PPI App),0.01,0.43
40,Karnataka Bank Apps,0.27,35.58
41,Karur Vysya Bank Apps,0.04,18.54
42,Kotak Mahindra Bank Apps,7.96,1684.35
43,MakeMyTrip,0.09,41.18
44,MI Pay,0.19,28.58
45,Mobikwik,2.37,421.47
46,NSDL Payments Bank Apps,0.02,2.32
47,Paytm Payments Bank App,851.61,101649.06
48,PhonePe,2616.26,486557.03
49,Punjab National Bank Apps,0.09,46.27
