State,registeredUsers,appOpens
Puducherry,520649,24144184
Tamil Nadu,25136112,1229187623
Uttar Pradesh,45648650,1682003791
Madhya Pradesh,22913924,1388282818
Andhra Pradesh,27778016,1673374802
Tripura,678741,16107610
Lakshadweep,6961,72377
Manipur,477292,12462732
Maharashtra,55954028,2982202696
Daman and Diu,500125,24066770
Dadra and Nagar Haveli,500125,24066770
Meghalaya,295322,10105924
Andaman and Nicobar Islands,88442,4354093
Haryana,14994944,556898878
Rajasthan,27255927,1537424924
Ladakh,106337,3832339
Punjab,8462753,199899443
Assam,5247776,248781157
Jharkhand,8217638,396098729
Orissa,14127239,726099254
Bihar,21738117,834827202
Kerala,10382102,346981849
Karnataka,36081698,3011645011
Chandigarh,627563,15308862
Telangana,25656381,1731228513
Himachal Pradesh,2483076,72355717
West Bengal,25536381,678066327
Gujarat,22412353,790984595
Sikkim,241968,8948864
Nagaland,321205,11171582
Mizoram,132870,3144551
Chhattisgarh,6846822,354976814
Jammu and Kashmir,1793434,60205865
Goa,855202,43005212
Arunachal Pradesh,390307,21775038
Delhi,15764149,401864749
Uttarakhand,4272049,160685547
