,registeredUsers,appOpens
puducherry,564431,3817041
tamil nadu,27317599,991611987
uttar pradesh,49829833,1731600947
madhya pradesh,25042930,2945628722
andhra pradesh,30240061,1427952434
tripura,743024,30819207
lakshadweep,7585,90501
manipur,519799,14076037
maharashtra,60766850,3363859330
dadra & nagar haveli & daman & diu,546364,4086025
meghalaya,322382,47337234
andaman & nicobar islands,96329,14738676
haryana,16314236,298037706
rajasthan,29745609,4033000288
ladakh,115736,26285520
punjab,9197055,218492661
assam,5749682,657069673
jharkhand,8980709,657119942
odisha,15420061,918449931
bihar,23781971,556071386
kerala,11237341,121310794
karnataka,39122314,2521576765
chandigarh,678662,1978988
telangana,27814633,1339967792
himachal pradesh,2706470,136774775
west bengal,27827662,350862668
gujarat,24396768,1057626015
sikkim,262728,28470875
nagaland,351024,33612080
mizoram,145061,21868647
chhattisgarh,7469508,749111705
jammu & kashmir,1953132,209249141
goa,926020,20219644
arunachal pradesh,426410,106089520
delhi,17103089,51415039
uttarakhand,4645322,240804293
